ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000075362-10-000074	952165	STOCK UNITS (RSDCP)	F1		F1				F1		F1	COMMON STOCK		7227.11				7227.11				D			
0001196395-10-000057	939151	Stock Options		26.6				29-MAY-2003		28-MAY-2013		Common Stock		2250.0				2250.0				D			
0001196395-10-000057	939150	Stock Options		24.02				29-MAY-2002		28-MAY-2012		Common Stock		2250.0				2250.0				D			
0001196395-10-000057	939149	Stock Options		21.4				04-JUN-2001		03-JUN-2011		Common Stock		2250.0				2250.0				D			
0001209191-10-036224	991598	Common Stock Option (right to buy)		7.36					F8	27-MAY-2019		Common Stock, $0.001 par value		24000.0				24000.0				D			
0001209191-10-036224	991596	Common Stock Option (right to buy)		4.6					F6	27-JUL-2016		Common Stock, $0.001 par value		27287.0				27287.0				D			
0001209191-10-036224	991597	Common Stock Option (right to buy)		5.4					F7	27-MAR-2018		Common Stock, $0.001 par value		107190.0				107190.0				D			
0001181580-10-000006	876995	DIRECTOR STOCK OPTIONS (Right to Buy)		1.9				29-JUN-2010		29-JUN-2019		COMMON STOCK		3804.0				3804.0				D			
0001181580-10-000006	876996	DIRECTOR STOCK OPTIONS (Right to Buy)		2.32				02-JUL-2009		02-JUL-2018		COMMON STOCK		20000.0				20000.0				D			
0001181580-10-000006	876997	DIRECTOR STOCK OPTIONS (Right to Buy)		3.17				08-NOV-2008		08-NOV-2017		COMMON STOCK		20000.0				20000.0				D			
0001181580-10-000005	1003248	DIRECTOR STOCK OPTIONS (Right to Buy)		2.32				02-JUL-2009		02-JUL-2018		COMMON STOCK		10000.0				10000.0				D			
0001181580-10-000005	1003247	DIRECTOR STOCK OPTIONS (Right to Buy)		1.9				29-JUN-2010		29-JUN-2019		COMMON STOCK		20200.0				20200.0				D			
0001109357-10-000142	950743	Deferred Compensation - Phantom Shares			F3				F3		F3	Common Stock		11165.0				11165.0	F4			D			
0001109357-10-000136	850137	Deferred Comp. Phantom Shares			F2				F2		F2	Common Stock		4948.0				4948.0	F3			D			
0001225208-10-015860	870071	Employee Stock Option (Right to Buy)		19.0					F1	15-OCT-2011		Common Stock		7432.0				7432.0				D			
0001225208-10-015860	870072	Employee Stock Option (Right to Buy)		22.0					F2	27-JAN-2013		Common Stock		10000.0				10000.0				D			
0001225208-10-015860	870073	Employee Stock Option (Right to Buy)		24.0					F3	18-OCT-2014		Common Stock		10000.0				10000.0				D			
0001225208-10-015860	870074	Employee Stock Option (Right to Buy)		25.0					F4	17-FEB-2015		Common Stock		7000.0				7000.0				D			
0001109357-10-000130	1058728	Deferred Comp. Phantom Shares			F2				F2		F2	Common Stock		898.0				898.0	F3			D			
0001181431-10-035206	951819	Incentive Stock Option (right to buy)		14.12				30-NOV-2005	F1	09-MAY-2015		Common Stock		10000.0				10000.0				D			
0001181431-10-035206	951821	Non-Qualified Option (right to buy)		19.93				29-NOV-2010	F3	29-NOV-2012		Common Stock		10000.0				10000.0				D			
0001181431-10-035206	951822	Non-Qualified Option (right to buy)		12.68				18-FEB-2012	F4	18-FEB-2015		Common Stock		5000.0				5000.0				D			
0001181431-10-035206	951823	Non-Qualified Option (right to buy)		17.02				16-FEB-2013	F5	16-FEB-2016		Common Stock		16000.0				16000.0				D			
0001181431-10-035206	951816	Incentive Stock Option (right to buy)		8.63				01-JAN-2002	F1	20-APR-2011		Common Stock		7000.0				7000.0				D			
0001181431-10-035206	951817	Incentive Stock Option (right to buy)		14.46				30-NOV-2005	F1	02-MAY-2013		Common Stock		7500.0				7500.0				D			
0001181431-10-035206	951818	Incentive Stock Option (right to buy)		18.6				30-NOV-2005	F1	17-MAY-2014		Common Stock		7500.0				7500.0				D			
0001181431-10-035206	951820	Non-Qualified Option (right to buy)		14.27				18-DEC-2011	F2	18-DEC-2016		Common Stock		5000.0				5000.0				D			
0001179110-10-011113	856956	Common Stock	F3		F1			15-JUN-2015	F2	15-JUN-2015		Common Stock		6500.0								D			
0001483997-10-000001	945291	Stock Options		0.63	F3			08-NOV-2008		07-NOV-2014		Common Stock		120000.0	F2							D			
0001483997-10-000001	945294	Stock Options		1.0	F3			08-NOV-2011		07-NOV-2014		Common Stock		120000.0	F2							D			
0001483997-10-000001	945293	Stock Options		0.88	F3			08-NOV-2010		07-NOV-2014		Common Stock		120000.0	F2							D			
0001483997-10-000001	945292	Stock Options		0.75	F3			08-NOV-2009		07-NOV-2014		Common Stock		120000.0	F2							D			
0001483997-10-000001	945290	Stock Options		0.53	F3			08-NOV-2007		07-NOV-2014		Common Stock		120000.0	F2							D			
0001140361-10-027607	1026291	"Call Option (""right to purchase"")"		5.65				07-JUN-2010		07-JUN-2012		Shares		3813573.0								I		please see all footnotes	F2, F7, F3, F6, F5, F8, F4, F1
0001140361-10-027607	1026292	"Put Option (""obligation to purchase"")"		5.65				07-JUN-2010		07-JUN-2012		please see footnote	F8	3813573.0								I		please see all footnotes	F2, F7, F3, F6, F5, F8, F4, F1
0001104659-10-036519	952871	Common Stock Warrants (right to buy)	F1	5.0				31-OCT-2008		04-MAR-2011		Common Stock			F5			52300.0				I		By Managed Account A	F3, F4
0001104659-10-036519	952868	Common Stock Warrants (right to buy)	F1	5.0				31-OCT-2008		04-MAR-2011		Common Stock			F5			945800.0				I		By Knott Partners, L.P.	F2, F4
0001104659-10-036519	952869	Common Stock Warrants (right to buy)	F1	5.0				31-OCT-2008		04-MAR-2011		Common Stock			F5			276800.0				I		By Shoshone Partners, L.P.	F2, F4
0001104659-10-036519	952870	Common Stock Warrants (right to buy)	F1	5.0				31-OCT-2008		04-MAR-2011		Common Stock			F5			749100.0				I		By Knott Partners Offshore Master Fund, L.P.	F2, F4
0001225208-10-015859	870805	Stock Option (right to buy) (granted 7/11/02)		10.91					F4	11-JUL-2012		Common Stock		14258.0				14258.0				D			
0001225208-10-015859	870804	Stock Option (right to buy) (granted 6/30/99)		8.64					F4	30-JUN-2009		Common Stock		3793.0				3793.0				D			
0001225208-10-015859	870803	Stock Option (right to buy) (granted 10/6/05)		14.07					F4	06-OCT-2015		Common Stock		14258.0				14258.0				D			
0001225208-10-015859	870806	Stock Option (right to buy) (granted 7/12/01)		9.85					F4	12-JUL-2011		Common Stock		21387.0				21387.0				D			
0001225208-10-015859	870807	Stock Option (right to buy) (granted 7/28/09)		13.34					F4	28-JUL-2019		Common Stock		20000.0				20000.0				D			
0001225208-10-015859	870808	Stock Option (right to buy) (granted 7/29/08)		15.59					F4	29-JUL-2018		Common Stock		20000.0				20000.0				D			
0001225208-10-015859	870809	Stock Option (right to buy) (granted 7/31/06)		19.74					F4	31-JUL-2016		Common Stock		15000.0				15000.0				D			
0001225208-10-015859	870810	Stock Option (right to buy) (granted 8/18/04)		12.73					F4	18-AUG-2014		Common Stock		10693.0				10693.0				D			
0001225208-10-015859	870811	Stock Option (right to buy) (granted 8/2/07)		20.4					F4	02-AUG-2017		Common Stock		15000.0				15000.0				D			
0001225208-10-015859	870812	Stock Option (right to buy) (granted 9/8/03)		10.25					F4	08-SEP-2013		Common Stock		10693.0				10693.0				D			
0001225208-10-015858	1031198	Stock Option (right to buy) (granted 9/8/03)		10.25					F2	08-SEP-2013		Common Stock		10693.0				10693.0				D			
0001225208-10-015858	1031197	Stock Option (right to buy) (granted 8/2/07)		20.4					F2	02-AUG-2017		Common Stock		15000.0				15000.0				D			
0001225208-10-015858	1031196	Stock Option (right to buy) (granted 8/18/04)		12.73					F2	18-AUG-2014		Common Stock		10693.0				10693.0				D			
0001225208-10-015858	1031195	Stock Option (right to buy) (granted 7/31/06)		19.74					F2	31-JUL-2016		Common Stock		15000.0				15000.0				D			
0001225208-10-015858	1031194	Stock Option (right to buy) (granted 7/29/08)		15.59					F2	29-JUL-2018		Common Stock		20000.0				20000.0				D			
0001225208-10-015858	1031193	Stock Option (right to buy) (granted 7/28/09)		13.34					F2	28-JUL-2019		Common Stock		20000.0				20000.0				D			
0001225208-10-015858	1031192	Stock Option (right to buy) (granted 7/12/01)		9.85					F2	12-JUL-2011		Common Stock		21387.0				21387.0				D			
0001225208-10-015858	1031190	Stock Option (right to buy) (granted 10/6/05)		14.07					F2	06-OCT-2015		Common Stock		14258.0				14258.0				D			
0001225208-10-015858	1031191	Stock Option (right to buy) (granted 7/11/02)		10.91					F2	11-JUL-2012		Common Stock		14258.0				14258.0				D			
0001437749-10-002072	917518	Options		10.55					F2	09-FEB-2015		Common Stock		39742.0				39742.0				D			
0001437749-10-002072	917519	Options		10.55					F2	05-MAR-2016		Common Stock		39742.0				39742.0				D			
