ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001209191-13-046179	620292	Series B Convertible Preferred Stock			F2				F2		F2	Common Stock		14999000.0								I		Walker Digital, LLC	F1
0001209191-13-046177	647341	Series B Convertible Preferred Stock			F2				F2		F2	Common Stock		14999000.0								I		Walker Digital, LLC	F1
0001246360-13-004488	642331	March 2011 Director RSU	F1	0.0	F2			02-MAR-2012	F3	02-MAR-2021		Class A Common Stock		2499.0				2499.0				D			
0001246360-13-004488	642332	March 2 2012 Director RSU Grant		0.0				02-MAR-2012		02-MAR-2022		Class A Common Stock		2231.0				2231.0				D			
0001246360-13-004488	642333	March 4, 2013 Director RSU Grant		0.0				04-MAR-2013		04-MAR-2023		Class A Common Stock		2629.0				2629.0				D			
0001246360-13-004487	645759	Nonstatutory Stock Option 12-15-05		30.65				15-DEC-2005		15-DEC-2015		Class A Common Stock		10000.0				10000.0				D			
0001246360-13-004487	645758	Nonstatutory Stock Options 12-2-04		21.77				02-DEC-2004		02-DEC-2014		Class A Common Stock		10000.0				10000.0				D			
0001246360-13-004487	645761	2007 Restricted Stock Unit	F1	0.0	F2			01-JAN-2008	F3	13-DEC-2017		Class A Common Stock		1319.0				1319.0				D			
0001246360-13-004487	645762	NSO 2007		43.61				14-DEC-2007		13-DEC-2017		Class A Common Stock		3956.0				3956.0				D			
0001246360-13-004487	645763	March 2011 Director RSU	F1	0.0	F2			02-MAR-2011	F3	02-MAR-2021		Class A Common Stock		2499.0				2499.0				D			
0001246360-13-004487	645764	March 2 2012 Director RSU Grant		0.0				02-MAR-2012		02-MAR-2022		Class A Common Stock		2231.0				2231.0				D			
0001246360-13-004487	645765	March 4, 2013 Director RSU Grant		0.0				04-MAR-2013		04-MAR-2023		Class A Common Stock		2629.0				2629.0				D			
0001246360-13-004487	645760	Nonstatutory Stock Option 12-15-06		32.57				15-DEC-2006		14-DEC-2016		Class A Common Stock		10000.0				10000.0				D			
0001246360-13-004486	617258	Non Statutory Stock Option 3-2-12		53.02				02-MAR-2013		02-MAR-2022		Class A Common Stock		31167.0				31167.0				D			
0001246360-13-004486	617259	March 4, 2013 Employee RSU Grant		0.0				04-MAR-2014		04-MAR-2023		Class A Common Stock		60804.0				60804.0				D			
0001246360-13-004486	617257	March 2, 2012 Employee RSU Grant		0.0				02-MAR-2013		02-MAR-2022		Class A Common Stock		19805.0				19805.0				D			
0001246360-13-004486	617256	Perf Based RSUs 3-2-12		0.0				31-DEC-2014		02-MAR-2022		Class A Common Stock		23104.0				23104.0				D			
0001246360-13-004486	617255	Perf Based RSU 3-2-2011		0.0				31-DEC-2013		02-MAR-2021		Class A Common Stock		25257.0				25257.0				D			
0001246360-13-004486	617254	Non-Statutory Stock Option 3-2-2011 - $48.50		48.5				02-MAR-2012		02-MAR-2021		Class A Common Stock		33129.0				33129.0				D			
0001246360-13-004486	617253	March 2011 Employee RSU Grant		0.0				02-MAR-2012		02-MAR-2021		Class A Common Stock		14433.0				14433.0				D			
0001246360-13-004486	617252	2009 Restricted Stock Units		0.0				11-DEC-2010		11-DEC-2019		Class A Common Stock		97034.0				97034.0				D			
0001246360-13-004486	617251	2008 Restricted Stock Units	F1	0.0	F2			12-DEC-2009	F3	11-DEC-2018	F4	Class A Common Stock		138667.0				138667.0				D			
