ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001179110-11-013753	1581109	Deferred Stock Units of Common Stock	F1		F1	30-SEP-2011				4	A	0				922.0	F1			0.0		A			F2		F2	Common Stock		922.0	F1			8720.0				D			
0001127602-11-026190	1547895	Non-qualified Stock Option (Right to Buy)		56.87		29-SEP-2011	F1			4	M	0				500.0				0.0		D		22-SEP-2010	F2	22-SEP-2014		Common Stock		500.0				38750.0				D			
0001127602-11-026189	1498148	Phantom Stock Units		0.0		08-MAR-2011				4	A	0				700.16	F1			0.0		A			F2		F2	Ordinary Shares		700.16				700.16	F3			I		By Plan Trustee	
0001127602-11-026188	1502319	Phantom Stock Units		0.0		07-SEP-2010				4	A	0				700.92	F1			0.0		A			F2		F2	Ordinary Shares		700.92				700.92	F3			I		By Plan Trustee	
0001127602-11-026187	1372929	Phantom Stock Units		0.0		26-SEP-2008				4	A	0				1936.54	F4			0.0		A			F5		F5	Ordinary Shares		1936.54				2512.31	F6			I		By Plan Trustee	
0001127602-11-026184	1485011	Phantom Stock Units		0.0		27-FEB-2009				4	A	0				3272.36	F4			0.0		A			F5		F5	Ordinary Shares		3272.36				3272.36	F6			I		By Plan Trustee	
0001127602-11-026182	1509479	Phantom Stock Units		0.0		26-AUG-2005				4	A	0				9138.87	F5			0.0		A			F6		F6	Ordinary Shares		9138.87				10700.76	F7			I		By Plan Trustee	
0001127602-11-026180	1594586	Phantom Stock Units		0.0		16-AUG-2011				4	A	0				130.39	F1			0.0		A			F2		F2	Ordinary Shares		130.39				2718.44	F3			I		By Plan Trustee	
0001127602-11-026179	1409797	Phantom Stock Units		0.0		30-JUL-2004				4	A	0				13192.02	F5			0.0		A			F6		F6	Ordinary Shares		13192.02				13192.02	F7			I		By Plan Trustee	
0001127602-11-026178	1643184	Phantom Stock Units		0.0		08-MAR-2011				4	A	0				471.22	F1			0.0		A			F2		F2	Ordinary Shares		471.22				471.22	F3			I		By Plan Trustee	
0001209191-11-049557	1510866	Employee Stock Option (Right to Buy)		3.9		28-SEP-2011				4	M	0	F1			5000.0				0.0		D			F3	20-DEC-2016		Common Stock		5000.0				45000.0				D			
0001127602-11-026177	1567875	Phantom Stock Units		0.0		01-SEP-2009				4	A	0				1651.51	F4			0.0		A			F5		F5	Ordinary Shares		1651.51				3507.5	F6			I		By Plan Trustee	
0001127602-11-026175	1544148	Phantom Stock Units		0.0		31-AUG-2007				4	A	0				4041.07	F4			0.0		A			F5		F5	Ordinary Shares		4041.07				4041.07	F6			I		By Plan Trustee	
0001509502-11-000005	1640239	Stock options		3.12		31-AUG-2011				4	A	0				6000.0				0.0		A			F1	31-AUG-2016		Common stock		6000.0				6000.0				D			
0001209191-11-049556	1375287	class A common stock		4.25		28-SEP-2011				4	A	0				100000.0				0.0		A			F1	28-SEP-2021		class A common stock		100000.0				100000.0				D			
0001209191-11-049554	1475550	class A common stock		4.25		28-SEP-2011				4	A	0				100000.0				0.0		A			F1	28-SEP-2021		class A common stock		100000.0				100000.0				D			
0001397187-11-000041	1418849	Stock Option (Right to Buy)		4.14	F1	30-SEP-2011				4	M	0				20000.0	F1			0.0		D			F3	30-MAR-2016		Common Stock		20000.0	F1			190000.0	F1			D			
0001397187-11-000041	1418848	Stock Option (Right to Buy)		4.14	F1	29-SEP-2011				4	M	0				40000.0	F1			0.0		D			F3	30-MAR-2016		Common Stock		40000.0	F1			210000.0	F1			D			
0001209191-11-049552	1383463	class A common stock		4.25		28-SEP-2011				4	A	0				100000.0				0.0		A			F1	28-SEP-2021		class A common stock		100000.0				100000.0				D			
0001209191-11-049550	1401912	class A common stock		4.25		28-SEP-2011				4	A	0				100000.0				0.0		A			F1	28-SEP-2021		class A common stock		100000.0				100000.0				D			
0001209191-11-049548	1399873	class A common stock		4.25		28-SEP-2011				4	A	0				200000.0				0.0		A			F2	28-SEP-2021		class A common stock		200000.0				200000.0				D			
0001209191-11-049548	1399874	class A common stock		1.01		30-SEP-2011				4	M	0				3250.0				0.0		D		14-OCT-2006		14-OCT-2014		class A common stock		3250.0				13250.0				D			
0001209191-11-049546	1597112	class A common stock		4.25		28-SEP-2011				4	A	0				100000.0				0.0		A			F2	28-SEP-2021		class A common stock		100000.0				100000.0				D			
0001209191-11-049546	1597113	class A common stock		1.68		30-SEP-2011				4	M	0				3000.0				0.0		D			F3	14-NOV-2018		class A common stock		3000.0				53900.0				D			
0001127602-11-026165	1443019	Employee (non-qualified) Stock Option (Right to Buy)		15.23		28-SEP-2011				4	M	0				70149.0				0.0		D			F3	20-NOV-2013		Common Stock		70149.0				94311.0				D			
0001127602-11-026165	1443020	Employee (non-qualified) Stock Option (Right to Buy)		15.23		29-SEP-2011				4	M	0				9088.0				0.0		D			F3	20-NOV-2013		Common Stock		9088.0				85223.0				D			
0000109380-11-000357	1482860	Deferred Comp		0.0	F1	29-SEP-2011				4	A	0				579.87				15.2		A			F2		F2	Common Stock		579.87				8513.77	F3			D			
0000109380-11-000356	1392048	Deferred Comp		0.0	F1	29-SEP-2011				4	A	0				723.8				15.2		A			F2		F2	Common Stock		723.8				12500.27	F3			D			
0000109380-11-000355	1538818	Deferred Comp		0.0	F1	29-SEP-2011				4	A	0				1250.21				15.2		A			F2		F2	Common Stock		1250.21				15810.87	F3			D			
0000109380-11-000355	1538819	Deferred Comp - Amegy Board			F1	29-SEP-2011				4	A	0				318.39				15.21		A			F4		F5	Common Stock		318.39				7509.12				D			
0000109380-11-000354	1574206	Phantom Stock			F1	30-SEP-2011				4	A	0				366.12	F2			0.0		A		15-JAN-2012	F3		F3	Common Stock		366.12				4892.72				D			
0000109380-11-000353	1429437	Phantom Stock			F1	30-SEP-2011				4	A	0				877.6	F2			0.0		A		15-JAN-2012	F3		F3	Common Stock		877.6				11612.29				D			
0001437749-11-007240	1451055	Option to purchase		3.23		28-SEP-2011				4	M	0				9013.0				3.23		D		28-SEP-2009		28-SEP-2011		Common Stock		9013.0				0.0				D			
0001209191-11-049541	1493537	Employee Stock Options (Right to Buy)		23.25		28-SEP-2011				4	A	0				430000.0				0.0		A			F3	28-SEP-2018		Common Stock		430000.0				430000.0				D			
0001181431-11-050887	1462886	Stock Options (right to buy)		2.38		28-SEP-2011				4	A	0				28000.0				0.0		A		28-SEP-2012	F1	28-SEP-2020	F2	Class A Common Stock		28000.0				28000.0				D			
0000072333-11-000130	1407839	Employee Stock Option (right to buy)		12.68		29-SEP-2011				4	M	0				15378.0				0.0		D			F1	25-FEB-2012		Common Stock		15378.0				0.0				D			
0001181431-11-050886	1599706	Stock Option (right to buy)		2.38		28-SEP-2011				4	A	0				50000.0				0.0		A		28-SEP-2012	F1	28-SEP-2020	F2	Class A Common Stock		50000.0				50000.0				D			
0001183740-11-000702	1416987	Options to Purchase		2.78		26-SEP-2011				4	A	0	F1			25000.0					F1	A		26-SEP-2011		26-SEP-2021		Common stock		25000.0				220000.0	F2			D			
0001181431-11-050884	1611288	Stock Option (right to buy)		2.38		28-SEP-2011				4	A	0				35000.0				0.0		A		28-SEP-2012	F1	28-SEP-2020	F2	Class A Common Stock		35000.0				35000.0				D			
0001181431-11-050883	1530540	Stock Option (right to buy)		2.38		28-SEP-2011				4	A	0				28000.0				0.0		A		28-SEP-2012	F1	28-SEP-2020	F2	Class A Common Stock		28000.0				28000.0				D			
0001183740-11-000701	1444591	Options to Purchase		2.78		26-SEP-2011				4	A	0	F1			25000.0					F1	A		26-SEP-2011		26-SEP-2021		Common stock		25000.0				1065000.0	F2			D			
