ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001127602-11-026185	1019439	Phantom Stock Units		0.0					F1		F1	Ordinary Shares		575.77								I		By Plan Trustee	
0001321240-11-000014	947770	Non-Qualified Stock Option (right to buy)		10.5					F3	02-MAR-2016		Common Stock		585774.0				585774.0				D			
0001321240-11-000014	947773	Non-Qualified Stock Option (right to buy)		25.85					F5	03-MAR-2015		Common Stock		226774.0				226774.0				D			
0001321240-11-000014	947772	Non-Qualified Stock Option (right to buy)		24.93					F2	01-SEP-2015		Common Stock		258891.0				258891.0				D			
0001321240-11-000014	947771	Non-Qualified Stock Option (right to buy)		23.88					F4	01-MAR-2017		Common Stock		500000.0				500000.0				D			
0001321240-11-000014	947774	Non-Qualified Stock Option (right to buy)		31.93					F6	01-MAR-2014		Common Stock		260400.0				260400.0				D			
0001321240-11-000014	947775	Non-Qualified Stock Option (right to buy)		32.29					F7	01-MAR-2018		Common Stock		354477.0				354477.0				D			
0001321240-11-000014	947769	Non-Qualified Option (right to buy)		25.85					F2	03-MAR-2015		Common Stock		258891.0				258891.0				D			
0001321240-11-000014	947777	Non-Qualified Stock Option (right to buy)		39.9					F9	01-MAR-2013		Common Stock		350000.0				350000.0				D			
0001321240-11-000014	947778	Restricted Stock Units -1			F10				F11		F12	Common Stock		60000.0				60000.0				D			
