ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001213900-22-017121	1560019	Series H Preferred Stock, par value $0.01 per share		0.33				19-AUG-2020			F5	Common Stock, par value $0.01 per share			F5			110.0				I		By B. Riley Principal Investments, LLC	F3, F1, F2
0001213900-22-017121	1560020	Series H Preferred Stock, par value $0.01 per share		0.33				19-AUG-2021			F5	Common Stock, par value $0.01 per share			F5			865.0				I		By BRF Investments, LLC	F3, F1, F2
0001567619-22-007802	1560144	Stock Options (Right to Buy)		48.4					F2	19-JUL-2031		Common Stock		7681.0								D			
0001567619-22-007802	1560145	Stock Options (Right to Buy)		48.4					F3	19-JUL-2031		Common Stock		2486.0								D			
0001567619-22-007790	1560242	Stock Options (Right to Buy)		25.98					F1	30-SEP-2031		Common Stock		60000.0								D			
0001567619-22-007790	1560243	Stock Options (Right to Buy)		15.78					F2	31-JAN-2032		Common Stock		25000.0								D			
0001235468-22-000058	1560003	Employee Stock Grant			F2				F4	01-JAN-2023		Common Stock		837.0				837.0				D			
0001235468-22-000058	1560002	Employee Stock Grant			F2				F3	01-OCT-2027		Common Stock		1656.0				1656.0				D			
0001235468-22-000058	1560005	Employee Stock Option		6.11					F6	04-DEC-2028		Common Stock		10400.0				10400.0				D			
0001235468-22-000058	1560006	Employee Stock Grant			F2				F7	01-JAN-2024		Common Stock		8150.0				8150.0				D			
0001235468-22-000058	1560007	Employee Stock Option		6.58					F5	29-APR-2029		Common Stock		10458.0				10458.0				D			
0001235468-22-000058	1560008	Employee Stock Option		6.58					F8	29-APR-2029		Common Stock		11667.0				11667.0				D			
0001235468-22-000058	1560009	Employee Stock Grant			F2				F9	01-MAY-2023		Common Stock		7500.0				7500.0				D			
0001235468-22-000058	1560010	Employee Stock Option		6.69					F5	03-DEC-2029		Common Stock		38950.0				38950.0				D			
0001235468-22-000058	1560011	Employee Stock Option		6.69					F10	03-DEC-2029		Common Stock		25566.0				25566.0				D			
0001235468-22-000058	1560012	Employee Stock Option		9.46					F11	01-DEC-2030		Common Stock		61200.0				61200.0				D			
0001235468-22-000058	1560013	Employee Stock Option		9.46					F12	01-DEC-2030		Common Stock		61200.0				61200.0				D			
0001235468-22-000058	1560014	Employee Stock Grant			F2				F13	01-JAN-2025		Common Stock		8287.0				8287.0				D			
0001235468-22-000058	1560015	Employee Stock Option		22.2					F14	07-DEC-2031		Common Stock		7740.0				7740.0				D			
0001235468-22-000058	1560016	Employee Stock Option		22.2					F12	07-DEC-2031		Common Stock		7740.0				7740.0				D			
0001235468-22-000058	1560017	Employee Stock Grant			F2				F15	01-JAN-2026		Common Stock		8720.0				8720.0				D			
0001235468-22-000058	1560018	Employee Stock Grant			F2				F16	01-JAN-2026		Common Stock		8720.0				8720.0				D			
0001235468-22-000058	1560004	Employee Stock Option		6.11					F5	04-DEC-2028		Common Stock		14033.0				14833.0				D			
0001071739-22-000129	1560180	Common Stock Option (right to buy)		81.85					F2	15-DEC-2031		Common Stock		13449.0				13449.0				D			
0001567619-22-007785	1559968	Stock Option (right to buy) (granted 7/29/14)		18.34					F1	29-JUL-2024		Common Stock		16400.0				16400.0				D			
0001567619-22-007785	1559969	Stock Option (right to buy) (granted 7/28/15)		20.26					F1	28-JUL-2025		Common Stock		17400.0				17400.0				D			
0001567619-22-007785	1559970	Stock Option (right to buy) (granted 3/1/16)		18.68					F1	01-MAR-2026		Common Stock		11150.0				11150.0				D			
0001567619-22-007785	1559971	Stock Option (right to buy) (granted 2/28/17)		31.2					F1	28-FEB-2027		Common Stock		16500.0				16500.0				D			
0001567619-22-007785	1559972	Stock Option (right to buy) (granted 2/27/18)		27.0					F2	27-FEB-2028		Common Stock		23500.0				23500.0				D			
0001567619-22-007785	1559973	Stock Option (right to buy) (granted 2/26/19)		41.9					F2	26-FEB-2029		Common Stock		21900.0				21900.0				D			
0001567619-22-007785	1559974	Stock Option (right to buy) (granted 2/25/20)		28.88					F2	25-FEB-2030		Common Stock		36400.0				36400.0				D			
0001567619-22-007785	1559975	Stock Option (right to buy) (granted 5/8/20)		12.71					F2	08-MAY-2030		Common Stock		20000.0				20000.0				D			
0001567619-22-007785	1559976	Stock Option (right to buy)(granted 3/9/21)		21.84					F2	09-MAR-2031		Common Stock		45200.0				45200.0				D			
0001209191-22-021822	1559918	Restricted Stock Units		0.0					F2		F2	Common Stock		19296.0				19296.0				D			
0001209191-22-021822	1559917	Restricted Stock Units		0.0					F2		F2	Common Stock		34483.0				34483.0				D			
0001209191-22-021822	1559919	Restricted Stock Units		0.0					F2		F2	Common Stock		17682.0				17682.0				D			
0001567619-22-007776	1559922	Restricted Stock Units			F2				F3		F3	Common Stock		4502.0				4503.0				D			
0001567619-22-007776	1559921	Stock Options (Right to Buy)		9.47					F1		F1	Common Stock		188000.0				188000.0				D			
0001209191-22-021788	1559957	Performance-based Restricted Stock Units			F3			15-MAR-2026		15-MAR-2026		Common Stock		1500.0				1500.0				D			
0001127602-22-010749	1559982	Stock Option	F15	74.3				01-APR-2022		01-APR-2031		Common Stock		32826.0				32826.0				D			
0001127602-22-010749	1559984	Phantom Stock Credits		1.0					F17		F18	Common Stock		11259.2				11259.2				D			
0001127602-22-010749	1559983	Stock Option	F16	75.24				31-AUG-2021		31-AUG-2028		Common Stock		26580.0				26580.0				D			
0001127602-22-010749	1559981	Stock Option	F14	58.34				01-APR-2021		01-APR-2030		Common Stock		34315.0				34315.0				D			
0001127602-22-010749	1559980	Stock Option	F13	54.19				01-APR-2020		01-APR-2029		Common Stock		12626.0				12626.0				D			
0001127602-22-010749	1559979	Stock Option	F12	62.2				01-APR-2019		01-APR-2025		Common Stock		1691.0				1691.0				D			
0001127602-22-010749	1559978	Stock Option	F11	104.82				01-APR-2017		01-APR-2023		Common Stock		2935.0				2935.0				D			
0001225208-22-005268	1559944	Warrants		10.0				25-MAR-2022		25-MAR-2027		Common Stock		1381951.0								D			
0001567619-22-007770	1559956	Class B Units	F7		F7				F7		F7	Class A common stock, par value $0.01		42399.0				42399.0				I		By spouse	
0001530950-22-000097	1559977	Phantom Stock			F9				F10		F10	Common Stock		2154.43				2154.43	F11			I		By XSIP	
0001104659-22-041091	1559958	Class B Common Stock			F1				F1		F1	Class A Common Stock		10000.0								D			
0001209191-22-021751	1559920	STOCK OPTION		33.0				31-MAR-2022	F1	19-MAR-2031		COMMON STOCK		7455.0				7455.0				D			
0001179110-22-002472	1559925	Stock Option (Right to Buy)		59.63					F1	17-DEC-2028		Common Stock		12838.0				12838.0				D			
0001225208-22-005260	1559936	Stock Units (RSDCP)			F3				F3		F3	Common Stock		37088.7				37088.7				D			
0001062993-22-009085	1559927	Restricted Stock Units	F1	0.0					F3		F3	Humana Common		188.0								D			
0001062993-22-009085	1559926	Restricted Stock Units	F1	0.0					F2		F2	Humana Common		100.0								D			
0001062993-22-009085	1559928	Restricted Stock Units	F1	0.0					F4		F4	Humana Common		318.0								D			
0001567619-22-007739	1559954	Stock Options		18.0					F5	01-JUN-2025		Common Stock		70000.0				70000.0				D			
0001567619-22-007739	1559951	Stock Options		18.0					F5	22-OCT-2023		Common Stock		57000.0				57000.0				D			
0001567619-22-007739	1559952	Stock Options		18.0					F5	02-DEC-2023		Common Stock		74000.0				74000.0				D			
0001567619-22-007739	1559953	Stock Options		18.0					F5	18-MAR-2024		Common Stock		30000.0				30000.0				D			
0001731122-22-000629	1559955	Series A Convertible Preferred Stock			F1				F1		F1	Common Stock		10184912.0	F2							I	F3	AEP Holdings, LLC	
0001209191-22-021701	1559935	Non-Qualified Stock Option		57.09					F3	10-MAR-2032		Common Stock		6212.0								D			
0001209191-22-021701	1559934	Non-Qualified Stock Option		57.09					F3	10-MAR-2032		Common Stock		17392.0								D			
0001209191-22-021701	1559933	Non-Qualified Stock Option		34.94					F3	11-MAR-2031		Common Stock		19135.0								D			
0001209191-22-021701	1559932	Non-Qualified Stock Option		29.12					F3	12-MAR-2030		Common Stock		25283.0								D			
0001209191-22-021701	1559931	Non-Qualified Stock Option		24.75					F3	14-MAR-2029		Common Stock		22289.0								D			
0001209191-22-021701	1559929	Non-Qualified Stock Option		22.92					F2	13-JUL-2027		Common Stock		29024.0								D			
0001209191-22-021701	1559930	Non-Qualified Stock Option		28.05					F3	13-JUL-2028		Common Stock		30251.0								D			
0001567619-22-007736	1559950	Performance Stock Units			F6				F6	29-APR-2024		Common Shares		870691.0								D			
0001567619-22-007736	1559948	Restricted Stock Units			F2				F5		F5	Common Shares		225320.0								D			
0001567619-22-007736	1559947	Restricted Stock Units			F2				F4		F4	Common Shares		479284.0								D			
0001567619-22-007736	1559946	Restricted Stock Units			F2				F3		F3	Common Shares		102478.0								D			
0001567619-22-007736	1559949	Performance Stock Units			F6				F6	29-APR-2022		Common Shares		870691.0								D			
0001567619-22-007736	1559945	Restricted Stock Units			F2				F1		F1	Common Shares		217673.0								D			
0001062993-22-009061	1559916	Phantom Stock Units	F5		F5				F5		F5	Humana Common		302.0				302.0				I			
0001062993-22-009061	1559915	Restricted Stock Units	F2		F2				F4		F4	Humana Common		410.0				410.0				D			
0001062993-22-009061	1559914	Restricted Stock Units	F2		F2				F3		F3	Humana Common		238.0				238.0				D		See Footnote	F5
0001493152-22-008239	1559959	Stock Option		9.08					F6	28-SEP-2025		Common Stock		6667.0				6667.0				D			
0001104659-22-040385	1559943	Warrants to purchase common stock		10.0				25-MAR-2022		25-MAR-2027		Common stock		92130.0	F1, F9, F2							D			
0001104659-22-040385	1559937	Warrants to purchase common stock		10.0				25-MAR-2022		25-MAR-2027		Common stock		84529.0	F1, F3, F2							D			
0001104659-22-040385	1559938	Warrants to purchase common stock		10.0				25-MAR-2022		25-MAR-2027		Common stock		68176.0	F1, F4, F2							D			
0001104659-22-040385	1559939	Warrants to purchase common stock		10.0				25-MAR-2022		25-MAR-2027		Common stock		138195.0	F1, F5, F2							D			
0001104659-22-040385	1559940	Warrants to purchase common stock		10.0				25-MAR-2022		25-MAR-2027		Common stock		706407.0	F1, F6, F2							D			
0001104659-22-040385	1559941	Warrants to purchase common stock		10.0				25-MAR-2022		25-MAR-2027		Common stock		200383.0	F1, F7, F2							D			
0001104659-22-040385	1559942	Warrants to purchase common stock		10.0				25-MAR-2022		25-MAR-2027		Common stock		92130.0	F8, F1, F2							D			
0000899243-22-012865	1559985	Options to purchase common stock		0.25				23-JUN-2021		23-JUN-2025		Common Stock		33333.0				33333.0				D			
0001127602-22-010693	1559912	Standard Employee Option - NSO		6.57				30-APR-2013		30-APR-2023		Common Stock, No Par Value		6000.0								D			
0001127602-22-010693	1559911	Standard Employee Option - NSO		6.39				01-MAY-2012		01-MAY-2022		Common Stock, No Par Value		4500.0								D			
0001127602-22-010693	1559913	Standard Employee Option - NSO		8.07				27-FEB-2014		27-FEB-2024		Common Stock, No Par Value		9000.0								D			
0001415889-22-003490	1559962	Stock Options (Right to Buy)		2.3					F3	19-FEB-2031		Common Stock		30000.0								D			
0001415889-22-003490	1559963	Stock Options (Right to Buy)		2.3					F4	05-MAR-2031		Common Stock		15000.0								D			
0001415889-22-003490	1559964	Restricted Stock Units			F6				F5		F5	Common Stock		139665.0								D			
0001415889-22-003490	1559960	Stock Options (Right to Buy)		1.77					F1	28-MAY-2030		Common Stock		22500.0								D			
0001415889-22-003490	1559961	Stock Options (Right to Buy)		2.3					F2	19-NOV-2030		Common Stock		15000.0								D			
0001462216-22-000002	1559967	Long-Term Incentive Plan Units	F5	0.0	F5				F7		F7	Class A Common Stock		240298.21				240298.21				I		Through Schwartz Family Trust dated September 22, 2003	
0001462216-22-000002	1559966	Long-Term Incentive Plan Units	F5	0.0	F5				F6		F6	Class A Common Stock		360447.16				360447.16				I		Through Schwartz Family Trust dated September 22, 2003	
0001462216-22-000002	1559965	Class A Common Units	F3	0.0	F3				F3		F3	Class A Common Stock		386173.0				386173.0	F4			I		See Footnote 4.	
0001062993-22-009025	1559923	Class B Common Stock			F4				F4		F4	Class A Common Stock		1168.0				1168.0				I		By spouse	
0001062993-22-009025	1559924	Class B Common Stock			F4				F4		F4	Class A Common Stock		33767.0				33767.0				I		By fund	F7
0001209191-22-021649	1559815	Stock Option (Right to Buy)		25.75					F1	26-AUG-2024		Common Stock		20000.0								D			
0001209191-22-021649	1559816	Stock Option (Right to Buy)		39.41					F1	28-JAN-2025		Common Stock		28000.0								D			
0001209191-22-021649	1559817	Stock Option (Right to Buy)		53.74					F1	01-AUG-2025		Common Stock		15000.0								D			
0001209191-22-021649	1559818	Stock Option (Right to Buy)		8.06					F1	08-JAN-2026		Common Stock		178000.0								D			
0001209191-22-021649	1559819	Stock Option (Right to Buy)		5.14					F1	24-JAN-2027		Common Stock		45750.0								D			
0001209191-22-021649	1559813	Stock Option (Right to Buy)		2.38					F1	01-JUN-2022		Common Stock		1485.0								D			
0001209191-22-021649	1559821	Stock Option (Right to Buy)		2.41				23-JAN-2019	F2	23-JAN-2029		Common Stock		176000.0								D			
0001209191-22-021649	1559822	Stock Option (Right to Buy)		2.08				21-JAN-2020	F2	21-JAN-2030		Common Stock		165000.0								D			
0001209191-22-021649	1559823	Stock Option (Right to Buy)		9.28				22-JAN-2021	F2	22-JAN-2031		Common Stock		170000.0								D			
0001209191-22-021649	1559824	Stock Option (Right to Buy)		5.62				18-JAN-2022	F2	18-JAN-2032		Common Stock		200000.0								D			
0001209191-22-021649	1559814	Stock Option (Right to Buy)		18.75					F1	28-JAN-2024		Common Stock		9000.0								D			
0001209191-22-021649	1559820	Stock Option (Right to Buy)		4.68					F1	25-JAN-2028		Common Stock		135000.0								D			
0001209191-22-021628	1559893	Stock Option (Right to Buy)		4.75					F2	12-DEC-2028		Common Stock		34375.0								D			
0001209191-22-021628	1559894	Stock Option (Right to Buy)		5.23					F3	12-MAR-2029		Common Stock		13542.0								D			
0001209191-22-021626	1559773	Class B Common Stock			F1				F1		F1	Class A Common Stock		76100.0				76100.0				I		See footnote	F10
0001209191-22-021626	1559774	Class B Common Stock			F1				F1		F1	Class A Common Stock		76100.0				76100.0				I		See footnote	F11
0001209191-22-021626	1559772	Class B Common Stock			F1				F1		F1	Class A Common Stock		76100.0				76100.0				I		See footnote	F9
0001209191-22-021612	1559880	Restricted Stock Units		0.0					F2		F2	Common Stock		2909.0				2909.0				D			
0001104659-22-040206	1559789	Restricted Stock Units			F2				F2		F2	Common Stock		194.0								D			
0000899243-22-012801	1559771	Warrants		3.98				26-MAY-2020		26-MAY-2025		Common Stock, $0.0001 par value per share		50301.0								D			
0001100555-22-000026	1559775	Stock Options		0.14				04-OCT-2012		04-OCT-2022		Class B Common Stock	F2	327469.0				12332832.0				D		by Pascal Family Trust	
0001100555-22-000026	1559779	Earnout Shares		0.0					F3	21-JUN-2026		Class B Common Stock	F2	313322.0				313322.0				D			
0001100555-22-000026	1559778	Earnout Shares		0.0					F3	21-JUN-2026		Class B Common Stock	F2	2296368.0				2296368.0				I			
0001100555-22-000026	1559777	Earnout Shares		0.0					F3	21-JUN-2026		Class B Common Stock	F2	416422.0				416422.0				I			
0001100555-22-000026	1559776	Stock Options		1.01				17-APR-2021		17-APR-2027		Class B Common Stock	F2	1864324.0				12332832.0				D		by DreamStreet Holdings, LLC	
0001062993-22-009007	1559780	Restricted Stock Units		0.0	F2, F1				F2, F1		F2, F1	Common Stock, par value $0.001		61250.0				61250.0				D			
0001062993-22-009007	1559781	Stock Option (Right to Buy)		7.0					F3	14-AUG-2024		Common Stock, par value $0.001		10000.0				10000.0				D			
0001062993-22-009007	1559782	Stock Option (Right to Buy)		3.5					F3	15-AUG-2025		Common Stock, par value $0.001		140000.0				140000.0				D			
0001393726-22-000028	1559854	Tiptree Inc. warrant 2022		6.95	F1			10-APR-2018		30-JUN-2022		Common Stock		438624.45	F2			438624.45	F2			D			
0001393726-22-000026	1559792	Tiptree Inc. warrant 2022		6.95	F1			10-APR-2018		30-JUN-2022		Common Stock		975379.29	F2			975379.29	F2			D			
0001104659-22-040125	1559828	Warrants		3.98				09-NOV-2020		09-NOV-2025		Common Stock, $0.0001 par value per share		25083.0								I			
0001104659-22-040125	1559827	Warrants		3.98				09-NOV-2020		09-NOV-2025		Common Stock, $0.0001 par value per share		6277.0								I			
0001104659-22-040125	1559825	Options		3.98					F3	10-MAY-2031		Common Stock, $0.0001 par value per share		3122931.0								D		By Pensco Trust Co. LLC Custodian FBO Kelly Rodriques Roth IRA	
0001104659-22-040125	1559826	Warrants		3.98				09-NOV-2020		09-NOV-2025		Common Stock, $0.0001 par value per share		3834.0								D		By Operative Capital LP	F2
0001104659-22-040123	1559890	Stock Options		5.43					F2	01-JUL-2031		Common Stock, $0.0001 par value per share		378504.0								D			
0001104659-22-040121	1559790	Warrants		3.98				22-OCT-2019		22-OCT-2024		Common Stock, $0.0001 par value per share		7307.0								D			
0001104659-22-040113	1559891	Stock Options		5.43				30-JUL-2021		30-JUL-2031		Common Stock, $0.0001 par value per share		62458.0								D		See Footenote	F2
0001104659-22-040113	1559892	Warrants		3.98				25-JUN-2020		25-JUN-2025		Common Stock, $0.0001 par value per share		18862.0								I			
0000899243-22-012784	1559804	Convertible Senior PIK Toggle Notes due 2027	F2	34.94				18-FEB-2022		18-FEB-2027		Common Stock		2862325.0								D			
0001104659-22-040103	1559791	Stock Options		5.43				30-JUL-2021		30-JUL-2031		Common Stock, $0.0001 par value per share		62458.0								D			
0001104659-22-040100	1559881	Stock Options		5.43				30-JUL-2021		30-JUL-2031		Common Stock, $0.0001 par value per share		62458.0								D			
0001567619-22-007701	1559784	UMH Properties, Inc.		23.81				28-MAR-2023		28-MAR-2032		UMH Properties, Inc.		39000.0				39000.0				D			
0001567619-22-007701	1559788	UMH Properties, Inc.		14.25				19-JAN-2018		19-JAN-2027		UMH Properties, Inc.		10000.0				10000.0				D			
0001567619-22-007701	1559787	UMH Properties, Inc.		15.04				04-APR-2018		04-APR-2027		UMH Properties, Inc.		50000.0				50000.0				D			
0001567619-22-007701	1559786	UMH Properties, Inc.		13.9				02-APR-2020		02-APR-2029		UMH Properties, Inc.		50000.0				50000.0				D			
0001567619-22-007701	1559785	UMH Properties, Inc.		22.57				14-JUL-2022		14-JUL-2031		UMH Properties, Inc.		50000.0				50000.0				D			
0001437749-22-007663	1559798	Stock Appreciation Right		25.76				15-MAR-2017		15-MAR-2026		Common Stock		14428.0				14428.0				D			
0001437749-22-007663	1559797	Stock Appreciation Right		40.0				21-MAR-2018		21-MAR-2027		Common Stock		7571.0				7571.0				D			
0001437749-22-007663	1559796	Stock Appreciation Right		22.96				17-MAR-2016		17-MAR-2025		Common Stock		12319.0				12319.0				D			
0001437749-22-007663	1559795	Stock Appreciation Right		19.37				18-FEB-2015		18-FEB-2024		Common Stock		16425.0				16425.0				D			
0001437749-22-007663	1559794	Stock Appreciation Right		15.26				19-FEB-2014		19-FEB-2023		Common Stock		28054.0				28054.0				D			
0001437749-22-007663	1559793	Stock Appreciation Right		35.9				20-FEB-2019		20-FEB-2028		Common Stock		7423.0				7423.0				D			
0001437749-22-007663	1559799	Stock Appreciation Right		39.32				01-OCT-2019		01-OCT-2028		Common Stock		25000.0				25000.0				D			
0001437749-22-007663	1559803	Stock Appreciation Right		54.91				14-FEB-2023		14-FEB-2032		Common Stock		10142.0				10142.0				D			
0001437749-22-007663	1559802	Stock Appreciation Right		50.71				25-FEB-2022		25-FEB-2031		Common Stock		8615.0				8615.0				D			
0001437749-22-007663	1559801	Stock Appreciation Right		37.3				25-FEB-2021		25-FEB-2030		Common Stock		14482.0				14482.0				D			
0001437749-22-007663	1559800	Stock Appreciation Right		36.65				19-FEB-2020		19-FEB-2029		Common Stock		12254.0				12254.0				D			
0001567619-22-007700	1559882	Stock Options		18.0					F5	22-DEC-2022		Common Stock		57000.0				57000.0				D			
0001567619-22-007700	1559883	Stock Options		18.0					F5	02-DEC-2023		Common Stock		74000.0				74000.0				D			
0001567619-22-007700	1559884	Stock Options		18.0					F5	18-MAR-2024		Common Stock		30000.0				30000.0				D			
0001567619-22-007700	1559885	Stock Options		18.0					F5	01-JUN-2025		Common Stock		70000.0				70000.0				D			
0001567619-22-007698	1559897	Stock Options		18.0					F5	18-MAR-2024		Common Stock		30000.0				30000.0				D			
0001567619-22-007698	1559896	Stock Options		18.0					F5	02-DEC-2023		Common Stock		74000.0				74000.0				D			
0001567619-22-007698	1559895	Stock Options		18.0					F5	22-DEC-2022		Common Stock		57000.0				57000.0				D			
0001567619-22-007698	1559898	Stock Options		18.0					F5	01-JUN-2025		Common Stock		70000.0				70000.0				D			
0001437749-22-007662	1559843	Stock Appreciation Right		50.71				25-FEB-2022		25-FEB-2031		Common Stock		4873.0				4873.0				D			
