ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001620745-14-000001	484319	Stock Option Plan  (right to buy)		4.31					F2	21-NOV-2022		Common Stock		10000.0								D			
0001620745-14-000001	484318	Stock Option Plan (right to buy)		3.64					F1	19-AUG-2021		Common Stock		20000.0								D			
0001181580-14-000030	489242	Director Stock Options (right to buy)		3.17				08-NOV-2008		08-NOV-2017		COMMON STOCK		20000.0				20000.0				D			
0001181580-14-000030	489237	Director Stock Options (right to buy)		3.11				25-JUN-2013		25-JUN-2022		COMMON STOCK		20000.0				20000.0				D			
0001181580-14-000030	489239	Director Stock Options (right to buy)		1.87				28-JUN-2011		28-JUN-2020		COMMON STOCK		11196.0				11196.0				D			
0001181580-14-000030	489241	Director Stock Options (right to buy)		2.32				02-JUL-2009		02-JUL-2018		COMMON STOCK		20000.0				20000.0				D			
0001181580-14-000030	489240	Director Stock Options (right to buy)		1.9				29-JUN-2010		29-JUN-2019		COMMON STOCK		3804.0				3804.0				D			
0001181580-14-000030	489238	Director Stock Options (right to buy)		2.71				27-JUN-2012		27-JUN-2021		COMMON STOCK		2000.0				2000.0				D			
0001209191-14-060265	486669	Employee Stock Option (right to buy)		1.3					F1	10-FEB-2024		Common Stock		661765.0								D			
0001209191-14-060264	493926	Employee Stock Option (right to buy)		1.0					F1	18-AUG-2023		Common Stock		617647.0								I		By the 1340 Holdings Trust	
0001209191-14-060261	499165	Employee Stock Option (right to buy)		1.3					F1	23-JAN-2024		Common Stock		882353.0								D			
0001127602-14-028562	479746	Employee Stock Option (Right to Buy)		19.14					F2	01-APR-2022		Common Stock		8000.0								D			
0001127602-14-028562	479747	Employee Stock Option (Right to Buy)		23.4					F2	01-MAR-2023		Common Stock		6000.0								D			
0001127602-14-028562	479748	Employee Stock Option (Right to Buy)		47.32					F2	03-MAR-2024		Common Stock		4000.0								D			
0001127602-14-028562	479744	Employee Stock Option (Right to Buy)		14.48					F2	01-JUN-2020		Common Stock		10000.0								D			
0001127602-14-028562	479745	Employee Stock Option (Right to Buy)		17.49					F2	01-MAR-2021		Common Stock		15000.0								D			
0001209191-14-060259	482361	Employee Stock Option (right to buy)		1.0					F1	14-OCT-2023		Common Stock		264706.0								D			
0001209191-14-060258	480133	Employee Stock Option (right to buy)		1.0					F1	11-JUL-2023		Common Stock		441176.0								D			
0001209191-14-060258	480134	Employee Stock Option (right to buy)		1.3					F2	23-JAN-2024		Common Stock		50000.0								D			
0001209191-14-060256	472929	Employee Stock Option (right to buy		4.14					F1	06-JUL-2024		Common Stock		225000.0								D			
0001209191-14-060253	495286	Employee Stock Option (right to buy)		1.0					F1	02-SEP-2023		Common Stock		3529412.0								D			
0001127602-14-028549	474280	Director Stock Options		27.72					F2	27-SEP-2017		Common Stock		30000.0				30000.0				D			
0001127602-14-028547	489485	Director Stock Options		10.87					F2	29-SEP-2015		Common Stock		30000.0				30000.0				D			
0001127602-14-028543	490189	Director Stock Options		27.72					F2	27-SEP-2017		Common Stock		30000.0				30000.0				D			
