ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001935777-22-000001	1571894	Restricted Stock Units	F5	0.0					F7		F7	Class B Proportionate Voting Shares	F3	1833.34								D			
0001935777-22-000001	1571895	Restricted Stock Units	F8	0.0					F9		F9	Class A Subordinate Voting Shares		180603.0								D			
0001935777-22-000001	1571893	Restricted Stock Units	F5	0.0					F6		F6	Class B Proportionate Voting Shares	F3	528.0								D			
0001935777-22-000001	1571892	Nonqualified Stock Option	F1	2366.0	F4				F2	18-FEB-2031		Class B Proportionate Voting Shares	F3	88.43								D			
0001744489-22-000124	1572013	Restricted Stock Unit			F3				F2		F2	Disney Common Stock		21647.0								D			
0001744489-22-000124	1572012	Stock Option (Right-to-Buy)		97.02					F1	27-JUN-2032		Disney Common Stock		25454.0								D			
0001127602-22-018312	1571951	Employee Stock Option (Right to Buy)		79.54				08-DEC-2023		08-DEC-2031		Ordinary Shares		5917.0								D			
0001127602-22-018312	1571950	Employee Stock Option (Right to Buy)		45.69				10-DEC-2022		10-DEC-2030		Ordinary Shares		7077.0								D			
0001585521-22-000146	1571949	Restricted Stock Units			F9				F12		F12	Class A Common Stock		225.0				0.0				D			
0001585521-22-000146	1571948	Restricted Stock Units			F9				F11		F11	Class A Common Stock		139.0				139.0				D			
0001585521-22-000146	1571947	Restricted Stock Units			F9				F10		F10	Class A Common Stock		6315.0				6315.0				D			
0001585521-22-000146	1571946	Employee Stock Option (right to buy)		3.77					F8	24-SEP-2028		Class B Common Stock	F7	100000.0				100000.0				D			
0001127602-22-018305	1571803	Restricted Stock Units			F4				F4		F4	Common Stock		20766.0				20766.0				D			
0001209191-22-039947	1571843	Restricted Stock Units		0.0					F4		F4	Common Stock		17682.0				17682.0				D			
0001209191-22-039947	1571842	Restricted Stock Units		0.0					F4		F4	Common Stock		19296.0				19296.0				D			
0001209191-22-039947	1571841	Restricted Stock Units		0.0					F4		F4	Common Stock		34483.0				34483.0				D			
0001274225-22-000002	1571817	Non-Qualified Stock Option (right to buy)		27.61				05-DEC-2013		05-DEC-2022		Common Stock		30000.0				30000.0				D			
0000899243-22-024601	1571844	2020 Warrant (Right to Buy)		0.01					F4	14-MAY-2030		Common Stock		783975.0	F5			783975.0				D	F2, F3		
0000899243-22-024601	1571845	Series C Convertible Preferred Stock		2.04	F6				F4		F7	Common Stock		2643069.0	F6			1734992.0				D	F2, F3		
0000899243-22-024601	1571846	2015 Warrant (Right to Buy)		2.04	F8				F4	13-MAY-2027		Common Stock		2724.0	F8			2724.0				D	F2, F3		
