ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001209191-13-058970	639259	Class B Common Stock			F3				F3		F3	Class A Common Stock		1474432.0				1474432.0				D			
0001209191-13-058967	645643	Stock Options (Right to buy)		26.09					F1	23-MAR-2014		Common Stock		16359.0				16359.0				D			
0001209191-13-058967	645644	Stock Options (Right to buy)		33.33					F1	01-APR-2015		Common Stock		6615.0				6615.0				D			
0001209191-13-058967	645645	Stock Options (Right to buy)		34.5					F2	01-MAY-2016		Common Stock		7500.0				7500.0				D			
0001209191-13-058967	645646	Stock Options (Right to buy)		33.2					F2	13-JUL-2016		Common Stock		10000.0				10000.0				D			
0001209191-13-058967	645647	Stock Options (Right to buy)		35.18					F2	01-MAY-2017		Common Stock		6000.0				6000.0				D			
0001209191-13-058967	645653	Stock Options (Right to buy)		39.35					F2	01-APR-2023		Common Stock		4100.0				4100.0				D			
0001209191-13-058967	645649	Stock Options (Right to buy)		22.25					F2	01-APR-2019		Common Stock		5098.0				5098.0				D			
0001209191-13-058967	645650	Stock Options (Right to buy)		33.1					F2	01-APR-2020		Common Stock		4500.0				4500.0				D			
0001209191-13-058967	645651	Stock Options (Right to buy)		38.0					F2	01-APR-2021		Common Stock		4300.0				4300.0				D			
0001209191-13-058967	645652	Stock Options (Right to buy)		38.18					F2	02-APR-2022		Common Stock		6900.0				6900.0				D			
0001209191-13-058967	645648	Stock Options (Right to buy)		28.75					F2	01-MAY-2018		Common Stock		5800.0				5800.0				D			
0001140361-13-047840	646772	Incentive Stock Options		1.14				23-DEC-2011	F2	22-DEC-2016		Common Stock		50000.0				50000.0				D			
0001181431-13-065067	624751	Employee Stock Option (Right to Buy)		31.31					F5	06-JUN-2022		Common Stock		20000.0				20000.0				D			
0001181431-13-065067	624752	Employee Stock Option (Right to Buy)		32.54					F6	16-MAY-2023		Common Stock		25000.0				25000.0				D			
0001181431-13-065067	624748	Employee Stock Option (Right to Buy)		20.8					F2	13-JUN-2020		Common Stock		3365.0				3365.0				D			
0001181431-13-065067	624749	Employee Stock Option (Right to Buy)		35.32					F3	03-FEB-2021		Common Stock		20000.0				20000.0				D			
0001181431-13-065067	624750	Employee Stock Option (Right to Buy)		33.15					F4	26-APR-2021		Common Stock		3400.0				3400.0				D			
