ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001127602-07-003947	1444895	Stock Option (Right to Buy)		34.74				29-JUN-2007	F2	29-JUN-2012		Common Stock		1250.0				1250.0				D			
0001127602-07-003947	1444894	Stock Option (Right to Buy)		36.01				30-MAR-2007	F3	30-MAR-2012		Common Stock		1281.0				1281.0				D			
0001127602-07-003947	1444893	Stock Option (Right to Buy)		41.51				27-DEC-2004	F3	27-DEC-2009		Common Stock		1004.0				1004.0				D			
0001127602-07-003947	1444889	Stock Option (Right to Buy)		35.6				06-AUG-2004	F3	06-AUG-2009		Common Stock		122.0				122.0				D			
0001127602-07-003947	1444890	Stock Option (Right to Buy)		34.16				07-MAY-2004	F3	07-MAY-2009		Common Stock		207.0				207.0				D			
0001127602-07-003947	1444892	Stock Option (Right to Buy)		39.97				29-JUN-2005	F3	29-JUN-2010		Common Stock		1045.0				1045.0				D			
0001127602-07-003947	1444891	Stock Option (Right to Buy)		35.98				24-OCT-2005	F3	24-OCT-2010		Common Stock		758.0				758.0				D			
0001127602-07-003945	1403293	Stock Option (Right to Buy)		39.97				29-JUN-2005	F4	29-JUN-2010		Common Stock		1955.0				1955.0				D			
0001127602-07-003945	1403287	Stock Option (Right to Buy)		23.93				07-APR-2003	F4	07-APR-2008		Common Stock		3004.0				3004.0				D			
0001127602-07-003945	1403288	Stock Option (Right to Buy)		41.51				27-DEC-2004	F4	27-DEC-2009		Common Stock		1503.0				1503.0				D			
0001127602-07-003945	1403289	Stock Option (Right to Buy)		35.98				24-OCT-2005	F4	24-OCT-2010		Common Stock		1008.0				1008.0				D			
0001127602-07-003945	1403290	Stock Option (Right to Buy)		16.98				31-DEC-2002	F4	31-DEC-2007		Common Stock		2521.0				2521.0				D			
0001127602-07-003945	1403291	Stock Option (Right to Buy)		35.6				06-AUG-2004	F4	06-AUG-2009		Common Stock		729.0				729.0				D			
