Date,daily_return,cumulative_return,daily_return_ndxt
2012-05-18,,,-0.02011750911759791
2012-05-21,-0.10986138669186518,,0.024900493543088986
2012-05-22,-0.0890390504844879,,-0.00468798979887608
2012-05-23,0.032258064516129004,,0.001794316940748386
2012-05-24,0.032187461853027344,,-0.0167018704688352
2012-05-25,-0.033908536883954676,-0.16531519148573137,0.005100291401546553
2012-05-29,-0.09620807613614557,-0.15251245409583936,0.013720292885409435
2012-05-30,-0.022538128123828938,-0.09064514406265745,-0.018361558289648028
2012-05-31,0.05001773042567437,-0.07499998807907104,-0.008696084714760022
2012-06-01,-0.06351354877995741,-0.1607629325518073,-0.029432665566102356
2012-06-04,-0.029581519305059034,-0.15700408188150283,0.003328262474654231
2012-06-05,-0.03828991798897097,-0.10298194513317238,0.015776523069757298
2012-06-06,0.036335469509665375,-0.04895356658287375,0.030304699207918784
2012-06-07,-0.018649757924656618,-0.11114867814619889,-0.008983198495807532
2012-06-08,0.030026641260482823,-0.0223664843882615,0.009860475082496656
2012-06-11,-0.0033210387941333686,0.0040892420784939265,-0.019663523797352034
2012-06-12,0.01443907391127719,0.059141814057328546,0.017271255301360977
2012-06-13,-0.004744494984543213,0.017157814285138295,-0.006690358413304565
2012-06-14,0.0374037565325116,0.07525661306637543,-0.0007728064610911245
2012-06-15,0.06079884261899937,0.10738006665866662,0.016961486120699698
2012-06-18,0.04665110322734689,0.16290261315234433,0.006978605931610371
2012-06-19,0.015918497371186557,0.16459855079091956,0.009832688832319691
2012-06-20,-0.009714806249600305,0.15878253945805554,0.0014151198815348653
2012-06-21,0.007594929374080017,0.1254860064395431,-0.03428740170006994
2012-06-22,0.03800248362669412,0.10129953298877337,0.01243386909347488
2012-06-25,-0.02995455027603755,0.020694095161941206,-0.02542343830800009
2012-06-26,0.03243908472494628,0.037292341974282106,0.004179972170412327
2012-06-27,-0.026283956857731106,0.019936682062068778,0.011638465183475333
2012-06-28,-0.026993451574352734,-0.015075362435176043,-0.012714765431888986
2012-06-29,-0.008290823463696362,-0.059001479594716355,0.039240900301624304
2012-07-02,-0.01061092989255008,-0.040237082354027565,-0.0049686988351536066
2012-07-03,0.013974660343798906,-0.05740174618639737,0.012305971736664256
2012-07-05,0.008653799481176838,-0.023580522484521804,-0.0032129268241911646
2012-07-06,0.008261844123126583,0.011798435098328452,-0.026402902935470318
2012-07-09,0.01386695975596508,0.03440507313026031,-0.011636453418375603
2012-07-10,-0.02175936883535634,0.02274939373340845,-0.01328412816703306
2012-07-11,-0.015888147788672535,-0.007371841152586156,-0.0058924927567450824
2012-07-12,-0.0051662851456091285,-0.020972350232369985,-0.012912836549134887
2012-07-13,-0.002921134506586931,-0.03183108236536236,0.01326299599874492
2012-07-16,-0.08040362527875267,-0.12185260777320794,-0.007730765177616061
2012-07-17,-0.005663711412818073,-0.10740385238369787,0.001544153519419611
2012-07-18,0.03631187085165255,-0.060058080214450804,0.02681924221089016
2012-07-19,-0.00377879106991319,-0.0587471436973952,0.012849815496198236
2012-07-20,-0.008275854176488462,-0.06380205495709812,-0.01386061273431849
2012-07-23,-0.0003477131016081936,0.017699115044247593,-0.015139002475833108
2012-07-24,-0.010434756071671214,0.012815970395015919,-0.007701415581640836
2012-07-25,0.03128293025593876,0.007901049035173857,0.011571488727124768
2012-07-26,-0.08486706742223848,-0.0741379178803544,0.027200584025896646
2012-07-27,-0.1169460429193927,-0.1755911371425437,0.02251274409245929
2012-07-30,-0.023618704663262435,-0.1947826219641643,-0.010273656168921286
2012-07-31,-0.0622030478525355,-0.2369069067740306,-0.0005791809203483655
2012-08-01,-0.038231227946005975,-0.28834359058703296,-0.0004160910800520279
2012-08-02,-0.0402298026341692,-0.2536312614223365,-0.005604053187470259
2012-08-03,0.05239516911633424,-0.1105018571510854,0.022879127582771552
2012-08-06,0.03935514071602353,-0.05313173056174836,0.010025480709106915
2012-08-07,-0.05474456016253537,-0.04560109686168656,0.01626356017912922
2012-08-08,0.0,-0.007662828249186293,0.00293298633294925
2012-08-09,0.01399618364564481,0.04840315713772836,0.0033077335981253064
2012-08-10,0.03807706941196565,0.034139369755582516,0.00430137892499638
2012-08-13,-0.009628568987384956,-0.014598526172921455,-0.005684782430170787
2012-08-14,-0.05648153699801517,-0.016409274317337963,-0.008423673148025168
2012-08-15,0.04023560529636483,0.023166093894394724,0.006487490193496148
2012-08-16,-0.06273584320011338,-0.05425984660777439,0.01822974166004343
2012-08-17,-0.041268322473029584,-0.12654746888883417,-0.0011781767688969769
2012-08-20,0.05039375486974662,-0.07361111687534605,-0.0067705788302575565
2012-08-21,-0.042478779197756444,-0.05986257917532711,-0.0013211745130758956
2012-08-22,0.01461381465946765,-0.0830188757331819,-0.0013791858216674058
2012-08-23,0.0,-0.021640678762667398,-0.010879873245197347
2012-08-24,-0.0015432451554180382,0.01889767059156644,4.991690661282355e-05
2012-08-27,-0.013395169032755061,-0.042978540755350014,-0.003533314480641425
2012-08-28,0.009921699104044057,0.009394588027624273,-5.7247318539066505e-05
2012-08-29,-0.01240950202816049,-0.017489719302848483,0.0010223944084319925
2012-08-30,-0.000523572182309362,-0.018004134354654422,-0.016026784745151956
2012-08-31,-0.053954985773317476,-0.0695517976343375,0.0076140220490681365
2012-09-04,-0.018272421565037722,-0.07415144149245312,-0.0031046719478420304
2012-09-05,0.04794136511085956,-0.03929680573348615,-0.0017559459990372783
2012-09-06,0.020452053946553805,-0.007329910691148411,0.030938052321630716
2012-09-07,0.0010548765152658124,-0.005762211077649182,-0.0033140975225436353
