TRANS_DATE,TRANS_CODE,TRANS_SHARES
2010-03-09,S,59994.0
2010-03-09,M,16926.0
2010-03-09,S,16926.0
2010-03-09,S,584.0
2010-03-09,M,3000.0
2010-03-09,S,3000.0
2010-03-09,M,5000.0
2010-03-09,M,1500.0
2010-03-09,S,5000.0
2010-03-09,S,1500.0
2010-03-08,M,15000.0
2010-03-08,S,15000.0
2010-03-05,M,6.0
2010-03-05,S,6.0
2010-01-06,M,2000.0
2010-01-06,S,900.0
2010-01-06,M,900.0
2010-01-06,S,2000.0
2010-01-06,M,700.0
2010-01-06,S,700.0
2010-02-03,M,1600.0
2010-02-03,S,1600.0
2010-02-03,S,2000.0
2010-02-03,M,2000.0
2010-03-02,S,2000.0
2010-03-02,M,1600.0
2010-03-02,S,1600.0
2010-02-26,G,1703.0
2010-03-02,M,2000.0
2010-03-02,M,2000.0
2010-03-02,S,2000.0
2010-02-02,S,2000.0
2010-02-02,M,2000.0
2010-03-01,S,15000.0
2010-03-01,M,15000.0
2010-02-25,S,24400.0
2010-02-25,S,600.0
2010-01-28,S,4000.0
2010-01-28,S,300.0
2010-01-29,F,2100.0
2010-02-01,F,2334.0
2010-01-28,S,20700.0
2010-01-28,A,25000.0
2008-05-28,M,3250.0
2008-05-28,S,3250.0
2008-05-28,S,500.0
2008-06-26,S,10000.0
2008-05-27,S,300.0
2008-05-27,S,200.0
2008-05-27,S,200.0
2008-05-27,S,500.0
2008-05-27,S,300.0
2008-05-27,S,200.0
2008-05-27,S,200.0
2008-05-27,S,100.0
2008-05-27,S,100.0
2008-05-27,S,100.0
2008-05-27,S,100.0
2008-05-27,S,100.0
2008-05-27,S,104.0
2008-05-27,S,196.0
2008-05-27,S,100.0
2008-05-27,S,100.0
2008-05-27,S,100.0
2008-05-27,S,100.0
2008-05-27,S,100.0
2008-05-27,S,100.0
2008-05-27,S,200.0
2008-05-27,S,200.0
2008-05-27,S,100.0
2008-05-27,S,100.0
2008-05-27,S,198.0
2008-05-27,S,200.0
2008-05-27,S,402.0
2008-05-27,S,100.0
2008-05-27,S,200.0
2008-04-24,S,10000.0
2008-05-22,S,10000.0
2008-06-24,S,100.0
2008-06-24,S,100.0
2008-06-24,S,100.0
2008-06-24,S,100.0
2008-06-24,S,100.0
2008-06-24,S,100.0
2008-06-24,S,300.0
2008-06-24,S,400.0
2008-06-24,S,100.0
2008-06-24,S,200.0
2008-06-24,S,200.0
2008-06-24,S,100.0
2008-06-24,S,200.0
2008-06-24,S,100.0
2008-06-24,S,205.0
2008-06-24,S,100.0
2008-06-24,S,100.0
2008-06-24,S,295.0
2008-06-24,S,200.0
2008-06-24,S,100.0
2008-06-24,S,200.0
2008-06-24,S,100.0
2008-06-24,S,200.0
2008-06-24,S,400.0
2008-06-24,S,100.0
2008-06-24,S,100.0
2008-06-24,S,200.0
2008-06-24,S,100.0
2008-06-24,S,300.0
2008-06-24,S,100.0
2008-04-22,S,100.0
2008-04-22,S,400.0
2008-04-22,S,200.0
2008-04-22,S,300.0
2008-04-22,S,200.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,98.0
2008-04-22,S,2.0
2008-04-22,S,100.0
