TRANS_DATE,TRANS_CODE,TRANS_SHARES
2017-09-07,C,58182.0
2017-09-07,S,20125.0
2017-09-07,S,12539.0
2017-09-07,S,25518.0
2017-09-07,C,36367.0
2017-09-07,S,12889.0
2017-09-07,S,8313.0
2017-09-07,S,15165.0
2017-09-07,S,3300.0
2017-09-08,S,5242.0
2017-09-08,S,2300.0
2017-09-08,S,7211.0
2017-09-08,S,5017.0
2017-09-08,S,5388.0
2017-09-08,S,18317.0
2017-09-08,S,12620.0
2017-09-08,C,36325.0
2017-09-08,S,9414.0
2017-09-08,S,27663.0
2017-09-08,S,21044.0
2017-09-08,C,58121.0
2017-09-07,S,6347.0
2017-09-07,S,3100.0
2017-09-07,S,5100.0
2017-09-07,S,6135.0
2017-09-07,S,5113.0
2017-09-07,S,2464.0
2017-09-07,S,13536.0
2017-07-07,S,6200.0
2017-07-07,S,9800.0
2017-08-08,C,31075.0
2017-08-08,S,8400.0
2017-08-08,S,15800.0
2017-08-08,C,35181.0
2017-08-08,S,13763.0
2017-08-08,S,750.0
2017-08-07,S,16000.0
2017-09-05,S,750.0
2017-07-05,S,750.0
2017-06-30,S,4978.0
2017-06-29,S,26053.0
2017-06-30,S,5110.0
2017-06-30,S,11561.0
2017-06-29,C,66278.0
2017-06-29,S,5800.0
2017-06-30,S,11429.0
2017-06-29,S,31907.0
2017-06-29,S,2518.0
2017-06-29,C,41426.0
2017-06-29,S,6503.0
2017-06-29,S,18006.0
2017-06-29,S,16617.0
2017-06-29,S,300.0
2017-06-29,S,8614.0
2017-06-29,S,7153.0
2017-06-29,S,800.0
2017-06-29,S,2500.0
2017-06-29,S,7108.0
2017-06-29,S,6962.0
2017-06-30,C,66163.0
2017-06-30,S,21687.0
2017-06-30,S,44476.0
2017-06-30,C,41354.0
2017-06-30,S,17220.0
2017-06-30,S,24134.0
2017-08-30,S,63629.0
2017-08-31,S,5228.0
2017-08-31,S,204534.0
2017-08-31,S,367363.0
2017-08-01,S,750.0
2017-07-28,S,1816.0
2017-07-28,S,1135.0
2017-07-28,S,14817.0
2017-07-28,S,27284.0
2017-07-28,S,607.0
2017-07-28,S,584.0
2017-07-28,S,365.0
2017-07-28,S,4747.0
2017-07-28,S,8765.0
2017-07-28,S,196.0
2017-07-28,C,45659.0
2017-07-28,C,14657.0
2018-10-29,S,2648.0
2018-10-31,S,750.0
2018-11-27,S,2268.0
2018-11-27,S,17264.0
2018-11-27,S,25575.0
2018-11-27,S,12161.0
2018-11-27,C,55000.0
2018-12-27,C,55000.0
2018-12-27,S,7246.0
2018-12-27,S,5044.0
2018-12-27,S,10678.0
2018-12-27,S,16421.0
2018-12-27,S,15611.0
2018-11-21,S,4465.0
2018-11-21,S,22092.0
2018-11-21,S,11628.0
2018-11-21,C,66233.0
2018-10-24,S,750.0
2018-10-23,C,55000.0
2018-10-23,S,15274.0
2018-10-23,S,14546.0
2018-10-23,S,15242.0
2018-10-23,S,9938.0
2018-10-17,S,750.0
2018-11-15,M,10022.0
2018-11-15,F,4969.0
2018-11-15,M,8254.0
2018-11-15,F,4093.0
2018-11-16,G,157745.0
2018-11-16,G,310109.0
2018-11-15,F,13311.0
