TRANS_DATE,TRANS_CODE,TRANS_SHARES
2022-08-31,S,147.0
2022-08-31,S,63.0
2022-08-30,S,90.0
2022-08-30,S,60.0
2022-08-30,S,38.0
2022-08-30,S,300.0
2022-08-30,S,32.0
2010-03-29,S,4200.0
2010-03-27,M,4200.0
2010-02-22,S,2000.0
2010-02-22,S,500.0
2010-02-22,S,500.0
2010-02-16,S,41775.0
2010-02-17,S,437099.0
2010-02-17,S,262901.0
2010-02-16,S,430795.0
2010-02-16,S,771030.0
2010-02-16,S,56400.0
2010-03-15,M,1354.0
2010-03-15,S,494.0
2010-02-16,S,10800.0
2010-02-16,S,800.0
2010-02-16,S,1400.0
2010-02-15,M,1004.0
2010-02-15,M,11511.0
2010-02-16,S,500.0
2010-02-16,S,8974.0
2010-02-16,S,3040.0
2010-02-15,M,13387.0
2010-02-15,M,1750.0
2010-02-16,S,5525.0
2010-02-15,M,8921.0
2010-02-15,M,4170.0
2010-02-16,S,13091.0
2010-02-16,S,9669.0
2010-02-15,M,15139.0
2010-02-15,M,1674.0
2010-02-16,S,900.0
2010-02-16,S,1200.0
2010-02-15,M,15870.0
2010-02-16,S,5384.0
2010-02-15,M,1004.0
2010-02-16,S,600.0
2010-02-16,S,5828.0
2010-02-15,M,8924.0
2010-02-15,M,1250.0
2010-02-16,S,14560.0
2010-02-15,M,2636.0
2010-02-15,M,1750.0
2010-03-08,S,5062.0
2010-03-08,S,2308.0
2010-03-05,S,100.0
2010-03-05,S,67400.0
2010-03-05,M,75000.0
2010-03-03,S,5000.0
2010-02-03,G,559.0
2008-05-15,M,1132.0
2008-05-15,M,1250.0
2008-05-15,M,8925.0
2008-05-15,S,11307.0
2008-05-15,M,2165.0
2008-05-15,M,13345.0
2008-05-15,M,3013.0
2008-05-15,S,300.0
2008-05-15,S,200.0
2008-05-15,S,423.0
2008-05-15,S,77.0
2008-05-15,S,300.0
2008-05-15,S,700.0
2008-05-15,S,500.0
2008-05-15,S,615.0
2008-05-15,S,200.0
2008-05-15,S,100.0
2008-05-15,S,600.0
2008-05-15,S,400.0
2008-05-15,M,1360.0
2008-05-15,M,8925.0
2008-05-15,S,700.0
2008-05-15,S,200.0
2008-05-15,S,100.0
2008-05-15,S,200.0
2008-05-15,S,300.0
2008-05-15,S,200.0
2008-05-15,S,200.0
2008-05-15,S,1100.0
2008-05-15,S,600.0
2008-05-15,S,770.0
2008-05-15,S,200.0
2008-05-15,S,966.0
2008-05-15,S,200.0
2008-05-15,S,34.0
2008-05-15,S,100.0
2008-05-15,M,4331.0
2008-05-15,M,5020.0
2008-05-15,M,8335.0
2008-05-15,S,6719.0
2008-05-15,M,2165.0
2008-05-15,M,3013.0
2008-05-19,S,4052.0
2008-05-15,S,5400.0
2008-05-15,M,8326.0
2008-05-15,S,3962.0
2008-05-15,M,10040.0
2008-05-15,M,812.0
2008-06-12,M,1872.0
2008-06-12,S,1872.0
2008-04-12,M,2500.0
2008-04-09,M,6000.0
2008-05-01,M,2500.0
2008-05-01,S,2500.0
2008-05-01,S,2500.0
2008-05-01,M,17186.0
2008-05-01,S,17186.0
2008-05-02,M,10940.0
2008-05-02,S,480.0
2008-05-02,S,1520.0
2008-05-02,S,300.0
2008-05-02,S,5000.0
2008-05-02,S,100.0
2008-05-02,S,100.0
2008-05-02,S,101.0
2008-05-02,S,3339.0
2008-05-01,S,1075000.0
2008-05-02,S,1075000.0
2008-06-02,S,100.0
2008-06-02,S,300.0
2008-06-02,S,64.0
2008-06-02,S,248.0
2008-06-02,S,1252.0
2008-06-02,S,100.0
2008-06-02,S,400.0
2008-04-30,G,252.0
2008-03-31,M,2500.0
2008-03-31,S,2500.0
2015-11-16,S,200.0
2015-11-16,S,300.0
2015-11-16,S,100.0
2015-11-16,S,38.0
2015-11-16,S,400.0
2015-11-16,S,200.0
2015-11-16,S,232.0
2015-11-16,S,300.0
2015-11-16,S,228.0
2015-11-15,M,1129.0
2015-11-15,M,723.0
2015-11-15,M,246.0
2015-11-16,S,100.0
2015-11-15,M,870.0
2015-11-15,M,870.0
2015-11-15,M,2568.0
2015-11-16,S,300.0
2015-11-16,S,100.0
2015-11-16,S,520.0
2015-11-16,S,488.0
2015-11-16,S,600.0
2015-11-16,S,300.0
2015-11-16,S,200.0
2015-11-16,S,500.0
2015-11-16,S,100.0
2015-11-16,S,400.0
2015-11-16,S,200.0
2015-11-16,S,200.0
2015-11-16,S,600.0
2015-11-16,S,700.0
2015-11-16,S,400.0
2015-11-16,S,300.0
2015-11-15,M,6250.0
2015-11-15,M,870.0
2015-11-16,S,700.0
2015-11-16,S,600.0
2015-11-16,S,200.0
2015-11-16,S,100.0
2015-11-16,S,300.0
2015-11-16,S,300.0
2015-11-16,S,100.0
2015-11-16,S,100.0
2015-11-16,S,200.0
2015-11-16,S,800.0
2015-11-16,S,400.0
2015-11-16,S,200.0
2015-11-15,M,870.0
2015-11-16,S,100.0
2015-11-16,S,3.0
2015-11-16,S,200.0
2015-11-16,S,200.0
2015-11-16,S,104.0
2015-11-15,M,879.0
2015-11-16,S,42.0
2015-11-16,S,30.0
2015-11-16,S,200.0
2015-11-15,M,1266.0
2015-11-15,M,5750.0
2015-11-16,S,200.0
2015-11-16,S,1422.0
2015-11-16,S,1600.0
2015-11-16,S,1072.0
2015-11-16,S,200.0
2015-11-16,S,500.0
2015-11-16,S,801.0
2015-11-16,S,300.0
2015-11-16,S,2291.0
2015-11-16,S,2368.0
2015-11-16,S,1959.0
2015-11-16,S,900.0
2015-11-16,S,1340.0
2015-11-16,S,1063.0
2015-11-16,S,500.0
2015-11-16,S,500.0
2015-11-16,S,300.0
2015-11-15,M,723.0
2015-11-15,M,27.0
2015-11-15,M,363.0
2015-11-15,M,573.0
2015-11-16,S,200.0
2015-11-16,S,200.0
2015-11-16,S,23.0
2015-11-16,S,300.0
2015-11-16,S,400.0
2015-11-16,S,200.0
2015-11-16,S,100.0
2015-11-16,S,100.0
2015-11-16,S,300.0
2015-11-16,S,200.0
2015-11-15,M,637.0
2015-11-16,S,250.0
2015-11-16,S,300.0
2015-11-16,S,200.0
2015-11-15,M,1279.0
2015-11-15,M,5750.0
2015-11-16,S,100.0
2015-11-16,S,100.0
2015-11-16,S,362.0
2015-11-16,S,450.0
2015-11-16,S,536.0
2015-11-16,S,200.0
2015-11-16,S,200.0
2015-11-16,S,254.0
2015-11-16,S,16.0
2015-11-15,M,16.0
2015-11-15,M,542.0
2015-11-16,S,200.0
2015-11-16,S,200.0
2015-11-16,S,100.0
2015-11-16,S,100.0
2015-11-15,M,162.0
2015-11-16,S,104.0
2015-11-16,S,100.0
2015-11-15,M,508.0
2015-11-16,S,407.0
2015-11-16,S,441.0
2015-11-16,S,200.0
2015-11-16,S,200.0
2015-11-16,S,200.0
2015-11-16,S,900.0
2015-11-16,S,1001.0
2015-11-16,S,600.0
2015-11-16,S,601.0
2015-11-16,S,557.0
2015-11-16,S,10.0
2015-11-16,S,315.0
2015-11-15,M,5625.0
2015-11-16,S,601.0
2015-11-10,G,306.0
2015-11-09,S,500.0
2015-11-02,S,400.0
2015-11-02,S,100.0
2015-11-02,S,577.0
2015-11-02,S,1196.0
2015-11-02,G,3206.0
2015-11-03,G,1284.0
2015-11-02,G,2000.0
2015-11-02,S,113.0
2015-11-02,S,200.0
2015-11-02,S,300.0
2015-11-02,S,3997.0
2015-11-02,S,4290.0
2015-11-02,S,1100.0
2015-11-02,S,500.0
2015-12-03,S,3298.0
2015-12-03,S,1100.0
2015-12-03,S,1852.0
2011-06-29,S,2250.0
2011-06-30,M,2333.0
2011-05-25,G,1283.0
2011-05-16,S,1800.0
2011-05-15,M,10000.0
2011-05-16,S,4500.0
2011-05-16,S,3700.0
2011-05-15,M,10000.0
2011-05-16,S,1695.0
2011-05-16,S,1590.0
2011-05-16,S,715.0
2011-05-15,M,5000.0
2011-05-16,S,3500.0
2011-05-15,M,2000.0
2011-05-15,M,339.0
2011-05-16,S,136.0
2011-05-16,S,7750.0
2011-05-15,M,7750.0
2011-05-16,S,800.0
2011-05-16,S,1100.0
2011-05-16,S,200.0
2011-05-16,S,100.0
2011-05-16,S,200.0
2011-05-16,S,900.0
2011-05-15,M,10000.0
2011-05-16,S,700.0
2011-05-16,S,3100.0
2011-05-15,M,7750.0
2011-05-15,M,7500.0
2011-05-16,S,900.0
2011-05-16,S,2086.0
2011-05-16,S,2264.0
2011-06-15,S,3500.0
2011-04-09,M,2333.0
2011-05-02,S,2600.0
2011-05-02,S,2600.0
2011-05-02,S,1300.0
2011-05-02,S,1300.0
2011-05-02,S,200.0
2011-05-02,S,2520.0
2020-11-24,G,368.0
2020-11-24,G,368.0
2020-11-23,S,100.0
2020-11-23,S,100.0
2020-11-23,S,50.0
2020-11-23,S,100.0
2020-11-23,S,300.0
2020-11-23,S,100.0
2020-11-20,S,12.0
2020-11-20,S,8.0
2020-11-20,S,9.0
2020-11-20,S,3.0
2020-11-20,S,6.0
2020-11-20,S,2.0
2020-11-20,S,1.0
2020-11-20,S,2.0
2020-11-20,S,1.0
2020-11-20,S,6.0
2020-11-20,S,3.0
2020-11-20,S,5.0
2020-11-20,S,5.0
2020-11-20,S,7.0
2020-11-20,S,6.0
2020-11-20,S,7.0
2020-11-20,S,7.0
2020-11-20,S,9.0
2020-11-20,S,1.0
2020-11-20,S,3.0
2020-11-20,S,3.0
2020-11-20,S,1.0
2020-11-20,S,8.0
2020-11-20,S,7.0
2020-11-20,S,13.0
2020-11-20,S,12.0
2020-11-20,S,19.0
2020-11-20,S,1.0
2020-11-20,S,3.0
2020-11-20,S,2.0
2020-11-23,G,249.0
2020-11-20,G,1650.0
2020-10-19,G,1100.0
2020-10-19,G,550.0
2020-10-19,G,550.0
2020-11-18,G,220825.0
2020-11-15,M,239.0
2020-11-16,S,1377.0
2020-11-15,M,1138.0
2020-11-15,M,172.0
2020-11-15,M,172.0
2020-11-15,M,293.0
2020-11-16,S,293.0
2020-11-16,S,257.0
2020-11-16,S,100.0
2020-11-15,M,2791.0
2020-11-16,S,100.0
2020-11-16,S,100.0
2020-11-16,S,200.0
2020-11-16,S,143.0
2020-11-16,S,180.0
2020-11-16,S,20.0
2020-11-16,S,100.0
2020-11-13,G,3275.0
2020-11-13,G,3275.0
2020-11-15,M,2791.0
2020-11-13,G,3275.0
2020-11-13,G,3275.0
2020-11-16,S,1099.0
2020-11-15,M,172.0
2020-11-15,M,1377.0
2020-11-16,S,1238.0
2020-11-15,M,172.0
2020-11-06,G,550.0
2020-11-06,S,600.0
2020-11-05,S,309.0
2020-10-01,P,1.0
2020-10-01,P,1.0
2020-10-01,P,1.0
2020-10-01,P,2.0
2020-10-01,P,3.0
2020-10-01,P,8.0
2020-10-01,P,4.0
2020-10-01,P,7.0
2020-10-01,P,2.0
2020-10-01,P,3.0
2020-10-01,P,6.0
2020-10-01,P,4.0
2020-10-01,P,5.0
2020-10-01,P,1.0
2020-10-01,P,4.0
2020-10-01,P,3.0
2020-10-01,P,1.0
2020-10-01,P,1.0
2020-10-01,P,3.0
2020-10-01,P,2.0
2020-10-01,P,7.0
2020-10-01,P,3.0
2020-10-01,P,2.0
2020-10-01,P,1.0
2020-10-01,P,6.0
2020-10-01,P,2.0
2020-10-01,P,4.0
2020-10-01,P,4.0
2020-10-01,P,1.0
2020-10-01,P,1.0
2020-10-01,P,1.0
2020-10-01,P,3.0
2020-10-01,P,1.0
2020-10-01,P,2.0
2020-11-03,S,5026.0
2020-11-03,S,200.0
2020-11-03,S,920.0
2020-11-03,S,1766.0
2020-11-03,S,9140.0
2020-11-03,S,4530.0
2020-11-03,S,3762.0
2020-11-03,S,1200.0
2020-11-03,S,1201.0
2020-11-03,S,1600.0
2020-11-03,S,500.0
2020-11-03,S,100.0
2020-11-03,S,1100.0
2020-11-03,S,3830.0
2020-11-03,S,5600.0
2020-11-03,S,5189.0
2020-11-03,S,4106.0
2020-11-03,S,4965.0
2020-11-03,S,1210.0
2020-11-03,S,1821.0
2020-11-03,S,1000.0
2020-11-03,S,5000.0
2020-11-03,S,284.0
2020-11-03,S,2369.0
2020-11-03,S,492.0
2020-11-03,S,308.0
2020-11-03,S,1090.0
2020-11-03,S,1537.0
2020-11-03,S,568.0
2020-11-03,S,1662.0
2020-11-03,S,3528.0
2020-11-03,S,900.0
2020-11-03,S,5466.0
2020-11-03,S,6959.0
2020-11-03,S,7854.0
2020-11-03,S,6712.0
2020-11-03,S,8735.0
2020-11-03,S,16409.0
2020-11-03,S,21314.0
2020-11-03,S,24327.0
2020-11-03,S,18666.0
2020-11-03,S,10495.0
2020-11-03,S,15965.0
2020-11-03,S,12044.0
2020-11-03,S,20921.0
2020-11-03,S,23295.0
2020-11-03,S,21570.0
2020-11-03,S,21990.0
2020-11-03,S,14531.0
2020-11-03,S,17312.0
2020-11-03,S,11669.0
2020-11-03,S,16602.0
2020-11-03,S,12976.0
2020-11-03,S,8012.0
2020-11-03,S,9212.0
2020-11-03,S,7505.0
2020-11-03,S,4805.0
2020-11-03,S,2233.0
2020-11-03,S,200.0
2020-11-03,S,100.0
2020-11-02,S,329.0
2020-11-02,S,6945.0
2020-11-02,G,1709.0
2020-11-02,G,1709.0
2020-11-02,S,100.0
2020-11-02,S,90.0
2020-11-02,S,100.0
2020-11-02,S,50.0
2020-11-02,S,100.0
2020-11-02,S,208.0
2020-11-02,S,549.0
2020-11-02,S,251.0
2020-11-02,S,452.0
2020-11-02,S,100.0
2020-11-02,S,1200.0
2020-11-02,S,2800.0
2020-11-02,S,1250.0
2020-11-02,S,3043.0
2020-11-02,S,1811.0
2020-11-02,S,1900.0
2020-11-02,S,1249.0
2020-11-02,S,3698.0
2020-11-02,S,1806.0
2020-11-02,S,1012.0
2020-11-02,S,288.0
2020-11-02,S,1002.0
2020-11-02,S,1800.0
2020-11-02,S,2383.0
2020-11-02,S,1282.0
2020-11-02,S,900.0
2020-11-02,S,3400.0
2020-11-02,S,808.0
2020-11-02,S,6247.0
2020-11-02,S,2926.0
2020-11-02,S,7800.0
2020-11-02,S,2950.0
2020-11-02,S,6872.0
2020-11-02,S,5050.0
2020-11-02,S,2300.0
2020-11-02,S,5179.0
2020-11-02,S,2869.0
2020-11-02,S,600.0
2020-11-02,S,2711.0
2020-11-02,S,800.0
2020-11-03,S,460.0
2020-11-02,S,11276.0
2020-11-02,S,7262.0
2020-11-02,S,5370.0
2020-11-02,S,8269.0
2020-11-02,S,8580.0
2020-11-02,S,8990.0
2020-11-02,S,4738.0
