ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001618835-19-000219	213737	Restricted Stock Units			F1	31-DEC-2019				4	M	0				37500.0				0.0		D			F2		F2	Common Stock		37500.0				37500.0				D			
0001482512-19-000156	281779	LTIP Units			F2, F1	29-DEC-2019				4	A	0				7367.0					F2, F1	A			F2, F1		F2, F1	Common Stock, par value $.01		7367.0				7367.0				D			
0001482512-19-000155	218012	LTIP Units			F2, F1	29-DEC-2019				4	A	0				41522.0					F2, F1	A			F2, F1		F2, F1	Common Stock, par value $0.01		41522.0				41522.0				D			
0001482512-19-000154	264122	LTIP Units			F2, F1	29-DEC-2019				4	A	0				12724.0					F2, F1	A			F2, F1		F2, F1	Common Stock, par value $.01		12724.0				12724.0				D			
0001482512-19-000153	291640	LTIP Units			F2, F1	29-DEC-2019				4	A	0				16073.0					F2, F1	A			F2, F1		F2, F1	Common Stock, par value $.01		16073.0				16073.0				D			
0001482512-19-000152	239155	LTIP Units			F2, F1	29-DEC-2019				4	A	0				133940.0					F2, F1	A			F2, F1		F2, F1	Common Stock, par value $.01		133940.0				133940.0				D			
0001482512-19-000151	315437	LTIP Units			F2, F1	29-DEC-2019				4	A	0				18752.0					F2, F1	A			F2, F1		F2, F1	Common Stock, par value $0.01		18752.0				18752.0				D			
0001482512-19-000150	295417	LTIP Units			F2, F1	29-DEC-2019				4	A	0				12055.0					F2, F1	A			F2, F1		F2, F1	Common Stock, par value $.01		12055.0				12055.0				D			
0001482512-19-000149	281084	LTIP Units			F2, F1	29-DEC-2019				4	A	0				16743.0					F2, F1	A			F2, F1		F2, F1	Common Stock, par value $.01		16743.0				16743.0				D			
0001482512-19-000148	222062	LTIP Units			F2, F1	29-DEC-2019				4	A	0				13394.0					F2, F1	A			F2, F1		F2, F1	Common Stock, par value $.01		13394.0				13394.0				D			
0001482512-19-000147	209865	LTIP Units			F2, F1	29-DEC-2019				4	A	0				38843.0					F2, F1	A			F2, F1		F2, F1	Common Stock, par value $0.01		38843.0				38843.0				D			
0000950142-19-002604	206683	Stock Option		25.41		27-DEC-2019				4	M	0	F1			125000.0				0.0		D			F9	28-FEB-2029		Common Stock		125000.0				0.0				D			
0000950142-19-002604	206681	Stock Option		29.01		27-DEC-2019				4	M	0	F1			70000.0				0.0		D			F7	23-APR-2028		Common Stock		70000.0				0.0				D			
0000950142-19-002604	206682	Stock Option		29.01		27-DEC-2019				4	M	0	F1			5000.0				0.0		D			F8	23-APR-2028		Common Stock		5000.0				30000.0				D			
0000950142-19-002604	206679	Stock Option		29.01		27-DEC-2019				4	M	0	F1			26250.0				0.0		D			F5	23-APR-2028		Common Stock		26250.0				0.0				D			
0000950142-19-002604	206678	Stock Option		33.27		27-DEC-2019				4	M	0	F1			18000.0				0.0		D			F4	29-FEB-2028		Common Stock		18000.0				0.0				D			
0000950142-19-002604	206677	Stock Option		52.7		27-DEC-2019				4	M	0	F1			50189.0				0.0		D			F3	28-FEB-2027		Common Stock		50189.0				0.0				D			
0000950142-19-002604	206680	Stock Option		29.01		27-DEC-2019				4	M	0	F1			35000.0				0.0		D			F6	23-APR-2028		Common Stock		35000.0				0.0				D			
0000950142-19-002603	310534	Stock Option		25.41		27-DEC-2019				4	M	0	F1			65000.0				0.0		D			F9	28-FEB-2029		Common Stock		65000.0				0.0				D			
0000950142-19-002603	310533	Stock Option		29.01		27-DEC-2019				4	M	0	F1			18000.0				0.0		D			F8	23-APR-2028		Common Stock		18000.0				30000.0				D			
0000950142-19-002603	310532	Stock Option		29.01		27-DEC-2019				4	M	0	F1			24000.0				0.0		D			F7	23-APR-2028		Common Stock		24000.0				0.0				D			
0000950142-19-002603	310531	Stock Option		29.01		27-DEC-2019				4	M	0	F1			18000.0				0.0		D			F6	23-APR-2028		Common Stock		18000.0				0.0				D			
0000950142-19-002603	310530	Stock Option		52.7		27-DEC-2019				4	M	0	F1			15810.0				0.0		D			F5	28-FEB-2027		Common Stock		15810.0				0.0				D			
0000950142-19-002603	310529	Stock Option		33.04		27-DEC-2019				4	M	0	F1			12889.0				0.0		D			F4	28-FEB-2026		Common Stock		12889.0				0.0				D			
0000950142-19-002603	310528	Stock Option		28.77		27-DEC-2019				4	M	0	F1			16500.0				0.0		D		01-APR-2019		28-FEB-2025		Common Stock		16500.0				0.0				D			
0000950142-19-002603	310527	Stock Option		28.77		27-DEC-2019				4	M	0	F1			4375.0				0.0		D		01-APR-2019		28-FEB-2025		Common Stock		4375.0				0.0				D			
0000950142-19-002603	310526	Stock Option		30.55		27-DEC-2019				4	M	0	F1			3477.0				0.0		D		01-APR-2018		29-FEB-2024		Common Stock		3477.0				0.0				D			
0000950142-19-002603	310524	Stock Option		22.04		27-DEC-2019				4	M	0	F1			6635.0				0.0		D		24-MAR-2016		24-FEB-2022		Common Stock		6635.0				0.0				D			
0000950142-19-002603	310525	Stock Option		31.49		27-DEC-2019				4	M	0	F1			1441.0				0.0		D		01-APR-2017		01-MAR-2023		Common Stock		1441.0				0.0				D			
0000950142-19-002603	310523	Stock Option		17.45		27-DEC-2019				4	M	0	F1			6000.0				0.0		D		18-MAR-2015		18-FEB-2021		Common Stock		6000.0				0.0				D			
0000950142-19-002602	199622	Stock Option		20.79		27-DEC-2019				4	M	0	F1			405000.0				0.0		D			F3	09-DEC-2028		Common Stock		405000.0				45000.0				D			
0000950142-19-002601	324019	Stock Option		25.41		27-DEC-2019				4	M	0	F1			25000.0				0.0		D			F6	28-FEB-2029		Common Stock		25000.0				40000.0				D			
0000950142-19-002601	324017	Stock Option		33.04		27-DEC-2019				4	M	0	F1			47644.0				0.0		D			F4	28-FEB-2026		Common Stock		47644.0				0.0				D			
0000950142-19-002601	324018	Stock Option		52.7		27-DEC-2019				4	M	0	F1			42159.0				0.0		D			F5	28-FEB-2027		Common Stock		42159.0				0.0				D			
0000950142-19-002601	324009	Stock Option		7.31		27-DEC-2019				4	M	0	F1			7500.0				0.0		D		19-MAR-2014		19-FEB-2020		Common Stock		7500.0				0.0				D			
0000950142-19-002601	324010	Stock Option		13.57		27-DEC-2019				4	M	0	F1			10000.0				0.0		D		01-JAN-2015		01-DEC-2020		Common Stock		10000.0				0.0				D			
0000950142-19-002601	324011	Stock Option		17.45		27-DEC-2019				4	M	0	F1			7500.0				0.0		D		18-MAR-2015		18-FEB-2021		Common Stock		7500.0				0.0				D			
0000950142-19-002601	324012	Stock Option		22.04		27-DEC-2019				4	M	0	F1			3516.0				0.0		D		24-MAR-2016		24-FEB-2022		Common Stock		3516.0				0.0				D			
0000950142-19-002601	324013	Stock Option		31.49		27-DEC-2019				4	M	0	F1			2196.0				0.0		D		01-APR-2017		01-MAR-2023		Common Stock		2196.0				0.0				D			
0000950142-19-002601	324014	Stock Option		30.55		27-DEC-2019				4	M	0	F1			3582.0				0.0		D		01-APR-2018		29-FEB-2024		Common Stock		3582.0				0.0				D			
0000950142-19-002601	324015	Stock Option		30.07		27-DEC-2019				4	M	0	F1			40000.0				0.0		D		03-APR-2018		02-MAR-2024		Common Stock		40000.0				0.0				D			
0000950142-19-002601	324016	Stock Option		28.77		27-DEC-2019				4	M	0	F1			5000.0				0.0		D		01-APR-2019		28-FEB-2025		Common Stock		5000.0				0.0				D			
0000950142-19-002600	165908	Stock Option		30.55		27-DEC-2019				4	M	0	F1			11483.0				0.0		D		01-APR-2018	F4	29-FEB-2024		Common Stock		11483.0				120000.0				D			
0000950142-19-002600	165904	Stock Option		13.54		27-DEC-2019				4	M	0	F1			15620.0				0.0		D		07-DEC-2011		07-DEC-2020		Common Stock		15620.0				0.0				D			
0000950142-19-002600	165905	Stock Option		17.45		27-DEC-2019				4	M	0	F1			240000.0				0.0		D		18-MAR-2015		18-FEB-2021		Common Stock		240000.0				0.0				D			
0000950142-19-002600	165906	Stock Option		22.04		27-DEC-2019				4	M	0	F1			150000.0				0.0		D		24-MAR-2016		24-FEB-2022		Common Stock		150000.0				0.0				D			
0000950142-19-002600	165903	Stock Option		7.31		27-DEC-2019				4	M	0	F1			60000.0				0.0		D		19-MAR-2014		19-FEB-2020		Common Stock		60000.0				0.0				D			
0000950142-19-002600	165907	Stock Option		31.49		27-DEC-2019				4	M	0	F1			64568.0				0.0		D		01-APR-2017		01-MAR-2023		Common Stock		64568.0				0.0				D			
0001209191-19-062352	152027	Long Term Incentive Plan Units	F1	0.0		27-DEC-2019				4	A	0				1675.0	F2			0.0		A		31-DEC-2019		27-DEC-2029		Common Stock		1675.0				1675.0				D			
0001209191-19-062352	152028	Long Term Incentive Plan Units	F3	0.0		27-DEC-2019				4	A	0				5023.0	F4			0.0		A		31-MAR-2020	F5	27-DEC-2029		Common Stock		5023.0				5023.0				D			
0001209191-19-062351	306543	Long Term Incentive Plan Units	F1	0.0		27-DEC-2019				4	A	0				5023.0	F2			0.0		A		31-MAR-2020	F3	27-DEC-2029		Common Stock		5023.0				5023.0	F4			D			
0001209191-19-062350	298578	Long Term Incentive Plan Units	F1	0.0		27-DEC-2019				4	A	0				23973.0				0.0		A		31-DEC-2019	F2	27-DEC-2029		Common Stock		23973.0				23973.0	F3			D			
0001209191-19-062349	162460	Long Term Incentive Plan Units	F1	0.0		27-DEC-2019				4	A	0				273973.0				0.0		A		31-DEC-2019	F2	27-DEC-2029		Common Stock		273973.0				273973.0	F3			D			
0001209191-19-062348	308903	Long Term Incentive Plan Units	F1	0.0		27-DEC-2019				4	A	0				5537.0	F2			0.0		A		31-MAR-2020	F3	27-DEC-2029		Common Stock		5537.0				5537.0	F4			D			
0001209191-19-062347	239925	Long Term Incentive Plan Units	F3	0.0		27-DEC-2019				4	A	0				5366.0	F4			0.0		A		31-MAR-2020	F5	27-DEC-2029		Common Stock		5366.0				5366.0	F6			D			
0001209191-19-062347	239924	Long Term Incentive Plan Units	F1	0.0		27-DEC-2019				4	A	0				115.0	F2			0.0		A		31-DEC-2019		27-DEC-2029		Common Stock		115.0				115.0				D			
