ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001562180-18-004055	337122	Stock Options (Right to buy)		10.45		26-SEP-2018				4	M	false				45038.0				0.0		D			F1	22-OCT-2018		Common Stock		45038.0				0.0				D			
0000899243-18-025564	438444	Stock Option (right to buy)		16.0		26-SEP-2018				4	A	0				32870.0				0.0		A			F1	25-SEP-2028		Common Stock		32870.0				32870.0				D			
0000899243-18-025562	401856	Stock Option (right to buy)		16.0		26-SEP-2018				4	A	0				30660.0				0.0		A			F3	25-SEP-2028		Common Stock		30660.0				30660.0				D			
0000899243-18-025562	401855	Stock Option (right to buy)		16.0		26-SEP-2018				4	A	0				2600.0				0.0		A			F2	25-SEP-2028		Common Stock		2600.0				2600.0				D			
0000899243-18-025562	401854	Stock Option (right to buy)		16.0		26-SEP-2018				4	A	0				23390.0				0.0		A			F1	25-SEP-2028		Common Stock		23390.0				23390.0				D			
0000899243-18-025562	401857	Stock Option (right to buy)		16.0		26-SEP-2018				4	A	0				44390.0				0.0		A			F4	25-SEP-2028		Common Stock		44390.0				44390.0				D			
0001225208-18-013820	405819	LTIP Units	F1		F1	27-SEP-2018				4	A	0				132276.0					F1	A			F1		F1	Common Shares		132276.0				132276.0				D			
0001225208-18-013820	405821	Stock Options (Right to Buy)	F3	21.72		27-SEP-2018				4	A	0				1000000.0					F3	A			F3	27-SEP-2028		Common Shares		1000000.0				1000000.0				D			
0001225208-18-013820	405820	LTIP Units	F2		F2	27-SEP-2018				4	A	0				49986.0					F2	A			F2		F2	Common Shares		49986.0				182262.0				D			
0000899243-18-025560	417495	Stock Option (right to buy)		16.0		26-SEP-2018				4	A	0				4560.0				0.0		A			F3	25-SEP-2028		Common Stock		4560.0				4560.0				D			
0000899243-18-025560	417493	Stock Option (right to buy)		16.0		26-SEP-2018				4	A	0				14270.0				0.0		A			F1	25-SEP-2028		Common Stock		14270.0				14270.0				D			
0000899243-18-025560	417494	Stock Option (right to buy)		16.0		26-SEP-2018				4	A	0				4660.0				0.0		A			F2	25-SEP-2028		Common Stock		4660.0				4660.0				D			
0000899243-18-025560	417496	Stock Option (right to buy)		16.0		26-SEP-2018				4	A	0				4660.0				0.0		A			F4	25-SEP-2028		Common Stock		4660.0				4660.0				D			
0001225208-18-013818	387744	Stock Options (Right to Buy)	F3	21.72		27-SEP-2018				4	A	0				1000000.0					F3	A			F3	27-SEP-2028		Common Shares		1000000.0				1000000.0				D			
