ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001315406-14-000110	478617	Restricted Stock Units		0.0	F6				F1		F1	Bio-Rad A Common Stock		250.0								D			
0001315406-14-000110	478618	Restricted Stock Units		0.0	F6				F2		F2	Bio-Rad A Common Stock		462.0								D			
0001315406-14-000110	478621	Restricted Stock Units		0.0	F6				F5		F5	Bio-Rad A Common Stock		1945.0								D			
0001315406-14-000110	478620	Restricted Stock Units		0.0	F6				F4		F4	Bio-Rad A Common Stock		1504.0								D			
0001315406-14-000110	478619	Restricted Stock Units		0.0	F6				F3		F3	Bio-Rad A Common Stock		1002.0								D			
0001179110-14-018821	486495	Incentive Stock Option		1.48					F2	25-JUN-2016		Class A Common Stock		11550.0				11550.0				D			
0001179110-14-018821	486496	Incentive Stock Option		2.12					F2	30-SEP-2017		Class A Common Stock		18900.0				18900.0				D			
0001179110-14-018820	492914	Incentive Stock Option		1.48					F4	25-JUN-2016		Class A Common Stock		11550.0				11550.0				D			
0001179110-14-018820	492915	Incentive Stock Option		2.12					F4	30-SEP-2017		Class A Common Stock		18900.0				18900.0				D			
0001477932-14-007421	489715	Warrant to Purchase		0.6				09-NOV-2012		09-NOV-2017		Common Stock		140000.0				140000.0				D			
0001477932-14-007421	489716	Warrant to Purchase		1.15				08-FEB-2012		08-FEB-2017		Common Stock		180047.0				180047.0				D			
0001477932-14-007421	489717	Warrant to Purchase		2.21				25-JAN-2011		25-JAN-2016		Common Stock		1903136.0				1903136.0				D			
0001477932-14-007421	489718	Warrant to Purchase		1.2				25-JAN-2011		25-JAN-2016		Common Stock		47088.0				47088.0				D			
0001013762-14-001474	502559	Common Stock Options	F1	0.75				30-JAN-2014		30-JAN-2024		Common Stock		25000.0								D			
0001179110-14-018809	483601	Non-qualified stock options (right to buy)		13.75				11-AUG-2012	F7	11-AUG-2018		Common Stock		80000.0				80000.0				D			
0001179110-14-018809	483600	Non-qualified stock options (right to buy)		13.82				26-SEP-2010	F6	26-SEP-2016		Common Stock		25000.0				25000.0				D			
0001179110-14-018809	483599	Non-qualified stock options (right to buy)		11.53				21-MAY-2009	F5	21-MAY-2015		Common Stock		43750.0				43750.0				D			
