ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001104659-08-079169	1315264	Employee Stock Option		10.93					F2	01-OCT-2017		Common Stock		75000.0				75000.0				D			
0001104659-08-079169	1315265	Employee Stock Option		12.89					F3	30-MAR-2016		Common Stock		75000.0				75000.0				D			
0001104659-08-079169	1315266	Employee Stock Option		3.0					F4	07-JUN-2015		Common Stock		47500.0				47500.0				D			
0001104659-08-079168	1382468	Employee Stock Option		13.56					F2	15-OCT-2017		Common Stock		250000.0				250000.0				D			
0001104659-08-079167	1173300	Employee Stock Option		10.93					F4	01-OCT-2017		Common Stock		70000.0				70000.0				D			
0001104659-08-079167	1173299	Employee Stock Option		12.89					F3	30-MAR-2016		Common Stock		16876.0				16876.0				D			
0001104659-08-079167	1173297	Employee Stock Option		7.0					F1	28-OCT-2015		Common Stock		67500.0				67500.0				D			
0001104659-08-079167	1173298	Employee Stock Option		2.0					F2	24-FEB-2015		Common Stock		59917.0				59917.0				D			
0001104659-08-079166	1203587	Employee Stock Option		12.89					F2	30-MAR-2018		Common Stock		30000.0				30000.0				D			
0001104659-08-079166	1203588	Employee Stock Option		10.93					F3	01-OCT-2017		Common Stock		30000.0				30000.0				D			
0001104659-08-079165	1402247	Employee Stock Option		12.02					F3	01-OCT-2017		Common Stock		84000.0				84000.0				D			
0001104659-08-079165	1402248	Employee Stock Option		17.63					F4	21-SEP-2016		Common Stock		100000.0				100000.0				D			
0001104659-08-079166	1203586	Employee Stock Option		7.0					F1	22-DEC-2015		Common Stock		18334.0				18334.0				D			
0001104659-08-079165	1402249	Employee Stock Option		7.0					F5	21-DEC-2015		Common Stock		75000.0				75000.0				D			
0001104659-08-079164	1104314	Employee Stock Option		17.63					F3	21-SEP-2016		Common Stock		75000.0				75000.0				D			
0001104659-08-079164	1104313	Employee Stock Option		12.02					F2	01-OCT-2017		Common Stock		76000.0				76000.0				D			
0001104659-08-079164	1104315	Employee Stock Option		7.0					F4	21-DEC-2015		Common Stock		60000.0				60000.0				D			
0001225208-08-020064	1335943	Director Stock Plan			F1				F1		F1	Common		14257.0				14257.0				D			
0001225208-08-020062	1347515	Director Stock Plan			F1				F1		F1	Common		4482.0				4482.0				D			
0001225208-08-020062	1347516	PSE Deferred Compensation Plan			F2				F2		F2	Common		2418.0				2418.0				D			
0001225208-08-020061	1367010	Director Stock Plan			F1				F1		F1	Common		11478.0				11478.0				D			
0001225208-08-020059	1200778	PSE Deferred Compensation Plan			F2				F2		F2	Common		3224.0				3224.0				D			
0001209191-08-067998	1171370	Non-Employee Stock Option (right to buy)		14.85				16-AUG-2002		16-FEB-2011		Common Stock		1500.0				1500.0				D			
0001209191-08-067998	1171371	Non-Employee Stock Option (right to buy)		14.15				16-AUG-2003		16-FEB-2012		Common Stock		1500.0				3000.0				D			
0001209191-08-067998	1171372	Non-Employee Stock Option (right to buy)		25.2				16-AUG-2004		16-FEB-2013		Common Stock		1500.0				4500.0				D			
0001209191-08-067998	1171373	Non-Employee Stock Option (right to buy)		20.74				16-AUG-2005		16-FEB-2014		Common Stock		1500.0				6000.0				D			
0001209191-08-067998	1171374	Non-Employee Stock Option (right to buy)		17.48				16-AUG-2006		16-FEB-2015		Common Stock		1500.0				7500.0				D			
0001179110-08-021694	1321266	Stock Options		23.79				15-MAY-2010		15-MAY-2017		Common Stock		3334.0				10000.0				D			
0001179110-08-021694	1321264	Stock Options		23.79				15-MAY-2008		15-MAY-2015		Common Stock		3333.0				3333.0				D			
0001179110-08-021694	1321265	Stock Options		23.79				15-MAY-2009		15-MAY-2016		Common Stock		3333.0				6666.0				D			
0001181431-08-070163	1298599	Stock Option (right to buy)		6.0					F1	31-DEC-2010	F2	Common Stock		75000.0				75000.0				D			
0001181431-08-070162	1086080	Stock Option (right to buy)		7.01					F1	31-DEC-2010	F2	Common Stock		160000.0				160000.0				D			
0001181431-08-070161	1448714	Stock Option (right to buy)		4.34					F1	31-DEC-2010	F2	Common Stock		240000.0				240000.0				D			
