ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000899243-18-018786	249854	Class B Common Stock		0.0					F3, F2		F3, F2	Class A Common Stock			F3, F2			1407.0				I		See Footnote	F8
0000899243-18-018786	249844	Class B Common Stock		0.0					F3, F2		F3, F2	Class A Common Stock			F3, F2			993627.0	F6			I	F6	By IGSB Internal Venture Fund III, LLC	
0000899243-18-018786	249852	Class B Common Stock		0.0					F3, F2		F3, F2	Class A Common Stock			F3, F2			15119.0				I		See Footnote	F8
0000899243-18-018786	249851	Class B Common Stock		0.0					F3, F2		F3, F2	Class A Common Stock			F3, F2			15119.0				I		See Footnote	F8
0000899243-18-018786	249850	Class B Common Stock		0.0					F3, F2		F3, F2	Class A Common Stock			F3, F2			15119.0				I		See Footnote	F8
0000899243-18-018786	249849	Class B Common Stock		0.0					F3, F2		F3, F2	Class A Common Stock			F3, F2			15119.0				I		See Footnote	F8
0000899243-18-018786	249855	Class B Common Stock		0.0					F3, F2		F3, F2	Class A Common Stock			F3, F2			0.0				I		See Footnote	F9
0000899243-18-018786	249843	Class B Common Stock		0.0					F3, F2		F3, F2	Class A Common Stock			F3, F2			3855275.0	F5			I	F5	By IGSB IVP III, LLC	
0000899243-18-018786	249853	Class B Common Stock		0.0					F3, F2		F3, F2	Class A Common Stock			F3, F2			13725.0				I		See Footnote	F8
0000899243-18-018786	249845	Class B Common Stock		0.0					F3, F2		F3, F2	Class A Common Stock			F3, F2			15129.0				I		See Footnote	F7
0000899243-18-018786	249846	Class B Common Stock		0.0					F3, F2		F3, F2	Class A Common Stock			F3, F2			15129.0				I		See Footnote	F8
0000899243-18-018786	249847	Class B Common Stock		0.0					F3, F2		F3, F2	Class A Common Stock			F3, F2			15119.0				I		See Footnote	F8
0000899243-18-018786	249848	Class B Common Stock		0.0					F3, F2		F3, F2	Class A Common Stock			F3, F2			15119.0				I		See Footnote	F8
0001642247-18-000018	259084	Warrants	F1	0.25				28-DEC-2017		28-DEC-2027		Warrants		9900000.0								D			
0001209191-18-040107	237526	Phantom Stock Unit			F1				F1		F1	$5 Par Common Stock		1614.0				1614.0	F3			I		Deferred Stock Unit Plan	
0001209191-18-040107	237527	Deferred Stock Unit			F4				F4		F4	$5 Par Common Stock		2219.0				2219.0	F5			D			
0001209191-18-040105	254532	Phantom Stock Unit			F1				F1		F1	$5 Par Common Stock		4894.0				4894.0	F3			I		Deferred Stock Unit Plan	
0001209191-18-040105	254533	Deferred Stock Unit			F4				F4		F4	$5 Par Common Stock		2219.0				2219.0	F5			D			
0001209191-18-040103	190612	Phantom Stock Unit			F1				F1		F1	$5 Par Common Stock		3218.0				3218.0	F3			I		Deferred Stock Unit Plan	
0001209191-18-040103	190613	Phantom Stock Unit			F4				F4		F4	$5 Par Common Stock		2219.0				2219.0	F5			D			
0001209191-18-040101	260061	Phantom Stock Unit			F1				F1		F1	$5 Par Common Stock		1614.0				1614.0	F3			I		Deferred Stock Unit Plan	
0001209191-18-040101	260062	Deferred Stock Unit			F4				F4		F4	$5 Par Common Stock		2219.0				2219.0	F5			D			
0001209191-18-040100	231939	Deferred Stock Unit			F3				F3		F3	$5 Par Common Stock		999.0				999.0				D			
0001209191-18-040098	201531	Deferred Stock Unit			F4				F4		F4	$5 Par Common Stock		2219.0				2219.0	F5			D			
0001209191-18-040098	201530	Phantom Stock Unit			F1				F1		F1	$5 Par Common Stock		1614.0				1614.0	F3			I		Deferred Stock Unit Plan	
0001209191-18-040097	235592	Phantom Stock Unit			F1				F1		F1	$5 Par Common Stock		20015.0				20015.0	F3			I		Deferred Stock Unit Plan	
0001209191-18-040097	235593	Deferred Stock Unit			F4				F4		F4	$5 Par Common Stock		2219.0				2219.0	F5			D			
0001209191-18-040095	209904	Deferred Stock Unit			F2				F2		F2	$5 Par Common Stock		999.0				999.0				D			
0001209191-18-040082	207694	Restricted Stock Units			F6				F9		F9	Class A Common Stock		3951.0				3951.0				D			
0001209191-18-040082	207695	Stock Options (Right to Buy)		115.17					F10	06-MAR-2024		Class A Common Stock		68540.0				68540.0				D			
0001209191-18-040082	207696	Restricted Stock Units			F6				F11		F11	Class A Common Stock		5277.0				5277.0				D			
0001209191-18-040082	207697	Stock Options (Right to Buy)		156.5					F12	06-MAR-2025		Class A Common Stock		54074.0				54074.0				D			
0001209191-18-040082	207698	Restricted Stock Units			F6				F13		F13	Class A Common Stock		5636.0				5636.0				D			
0001209191-18-040082	207691	Stock Options (Right to Buy)		124.59					F5	05-MAR-2022		Class A Common Stock		64435.0				64435.0				D			
0001209191-18-040082	207692	Restricted Stock Units			F6				F7		F7	Class A Common Stock		1613.0				1613.0				D			
0001209191-18-040082	207693	Stock Options (Right to Buy)		96.58					F8	04-MAR-2023		Class A Common Stock		80832.0				80832.0				D			
0000932440-18-000043	212142	Warrants (right to buy)		0.2					F2	28-JUL-2023		Common Stock, par value $0.01 per share		13575000.0				13575000.0				I		By JSARCo, LLC	F1
0001140361-18-030746	193192	Stock Option (right to buy)		10.4					F4	14-DEC-2026		ADSs		100000.0				100000.0				D			
0001140361-18-030746	193193	Stock Option (right to buy)		8.95					F5	12-DEC-2027		ADSs		80000.0				80000.0				D			
0001140361-18-030746	193191	Stock Option (right to buy)		16.21					F3	28-OCT-2025		ADSs		100000.0				100000.0				D			
0001077183-18-000062	230349	Stock Option (Right to Buy)		7.52				28-APR-2018	F2	28-APR-2022		Common Stock		200000.0				200000.0				D			
0001077183-18-000062	230350	Stock Option (Right to Buy)		8.03				26-FEB-2019	F3	26-FEB-2023		Common Stock		288500.0				288500.0				D			
0001077183-18-000062	230352	Stock Option (Right to Buy)		7.15				20-APR-2017	F5	20-APR-2021		Common Stock		200000.0				200000.0				D			
0001077183-18-000062	230351	Stock Option (Right to Buy)		4.79				13-OCT-2015	F4	13-OCT-2019		Common Stock		300000.0				300000.0				D			
0001209191-18-040067	196714	Employee Stock Option (Right to Buy)		8.62					F10	24-FEB-2026		Class B Common Stock		52084.0				52084.0				D			
0001209191-18-040067	196716	Employee Stock Option (Right to Buy)		39.21					F12	21-MAR-2028		Class A Common Stock		52000.0				52000.0				D			
0001209191-18-040067	196713	Employee Stock Option (Right to Buy)		7.17					F9	27-AUG-2025		Class B Common Stock		19792.0				19792.0				D			
0001209191-18-040067	196715	Employee Stock Option (Right to Buy)		8.97					F11	29-JUL-2026		Class B Common Stock		200000.0				200000.0				D			
0001209191-18-040067	196717	Restricted Stock Units			F13				F14		F14	Class A Common Stock		22500.0				22500.0				D			
0001209191-18-040042	192454	Class B Common Stock			F5				F5		F5	Class A Common Stock		329386.0				329386.0				I		By Trust 2	F6
0001209191-18-040042	192453	Class B Common Stock			F5				F5		F5	Class A Common Stock		329386.0				329386.0				I		By Trust 1	F6
0001209191-18-040041	193196	Common Stock Warrants (right to buy)		3.66					F2	03-JUN-2021		Common Stock		1178782.0								I		See Note 1	F1
0001214659-18-004650	219052	Series B Convertible Preferred Stock		0.7					F1		F1	Common Stock		1785714.0				125000.0				I		By Philou Ventures, LLC	F2
0001214659-18-004650	219053	Common Stock Purchase Warrant		0.7				24-APR-2018		24-APR-2023		Common Stock		357143.0				1785714.0				I		By Philou Ventures, LLC	F2
0000899243-18-018737	191016	LTIP Units			F3				F7		F3, F7	Common Stock		18265.0								D			
0000899243-18-018737	191018	LTIP Units			F3				F9		F3, F9	Common Stock		13681.0								D			
0000899243-18-018737	191017	LTIP Units			F3				F8		F3, F8	Common Stock		14852.0								D			
0000899243-18-018737	191015	LTIP Units			F3				F6		F3, F6	Common Stock		41931.0								D			
0000899243-18-018737	191014	LTIP Units			F3				F5		F3, F5	Common Stock		19037.0								D			
