ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001127602-08-007402	1222574	Option To Purchase Class A Common Stock		448.23					F3	01-MAR-2017		Class A Common Stock		36748.0				36748.0				D			
0001127602-08-007401	1177051	Option To Purchase Class A Common Stock		448.23					F3	01-MAR-2017		Class A Common Stock		36748.0				36748.0				D			
0001127602-08-007400	1210917	Option To Purchase Class A Common Stock		448.23					F3	01-MAR-2017		Class A Common Stock		36748.0				36748.0				D			
0001144204-08-055430	1157175	Stock Option (right to buy)		27.98				26-SEP-2009	F1	26-SEP-2018		Common Stock		1951.0								D			
0001209191-08-053949	1109444	Common Stock (right to buy)		3.81				31-JUL-1999	F1	31-JUL-2008		Common Stock		11600.0				6960.0				D			
0001209191-08-053949	1109445	Common Stock (right to buy)		7.69				24-MAY-2001	F2	24-MAY-2010		Common Stock		21775.0				21775.0				D			
0001209191-08-053949	1109446	Common Stock (right to buy)		10.88				26-JAN-2002	F2	26-JAN-2011		Common Stock		13000.0				13000.0				D			
0001209191-08-053949	1109447	Common Stock (right to buy)		7.06				28-FEB-2002	F2	28-FEB-2011		Common Stock		13000.0				13000.0				D			
0001209191-08-053949	1109448	Common Stock (right to buy)		6.65				03-JAN-2003	F2	03-JAN-2012		Common Stock		20000.0				20000.0				D			
0001209191-08-053949	1109455	Common Stock (right to buy)		3.14				12-MAY-2009	F2	12-MAY-2018		Common Stock		23000.0				23000.0				D			
0001209191-08-053949	1109450	Common Stock (right to buy)		5.55				11-OCT-2005	F2	11-OCT-2014		Common Stock		11000.0				11000.0				D			
0001209191-08-053949	1109451	Common Stock (right to buy)		6.03				27-SEP-2006	F2	27-SEP-2015		Common Stock		10000.0				10000.0				D			
0001209191-08-053949	1109452	Common Stock (right to buy)		6.01				27-SEP-2007	F2	27-SEP-2016		Common Stock		15000.0				15000.0				D			
0001209191-08-053949	1109453	Common Stock (right to buy)		1.75				27-JUL-2000	F2	27-JUL-2009		Common Stock		8000.0				5334.0				D			
0001209191-08-053949	1109454	Common Stock (right to buy)		4.48				06-NOV-2008	F2	06-NOV-2017		Common Stock		18000.0				18000.0				D			
0001209191-08-053949	1109449	Common Stock (right to buy)		3.66				24-MAR-2004	F2	24-MAR-2013		Common Stock		18000.0				18000.0				D			
0001209191-08-053947	1252490	Stock Option (right to buy)		4.48				06-NOV-2008	F2	06-NOV-2017		Common Stock		15000.0				15000.0				D			
0001209191-08-053947	1252491	Stock Option (right to buy)		3.14				12-MAY-2009	F2	12-MAY-2018		Common Stock		23000.0				23000.0				D			
0001209191-08-053947	1252489	Stock Appreciation Right		6.01				27-SEP-2007	F3	27-SEP-2016		Common Stock		15000.0				15000.0				D			
0001209191-08-053947	1252488	Stock Option (right to buy)		6.03				27-SEP-2006	F2	27-SEP-2015		Common Stock		10000.0				10000.0				D			
0001209191-08-053947	1252487	Stock Option (right to buy)		5.84				24-JUL-2009	F2	24-JUL-2016		Common Stock		20000.0				20000.0				D			
0001209191-08-053947	1252486	Stock Option (right to buy)		5.55				11-OCT-2005	F2	11-OCT-2014		Common Stock		11000.0				11000.0				D			
0001209191-08-053947	1252485	Stock Option (right to buy)		3.66				24-MAR-2004	F2	24-MAR-2013		Common Stock		30000.0				30000.0				D			
0001209191-08-053947	1252484	Stock Option (right to buy)		6.65				03-JAN-2003	F2	03-JAN-2012		Common Stock		40000.0				40000.0				D			
0001209191-08-053947	1252483	Stock Option (right to buy)		10.19				22-JAN-2002	F1	22-JAN-2011		Common Stock		30000.0				30000.0				D			
0001209191-08-053945	1105799	Common Stock (right to buy)		4.48				06-NOV-2008	F2	06-NOV-2017		Common Stock		15000.0				15000.0				D			
0001209191-08-053945	1105790	Common Stock (right to buy)		3.81				31-JUL-1999	F1	31-JUL-2008		Common Stock		27180.0				27180.0				D			
0001209191-08-053945	1105800	Common Stock (right to buy)		3.14				12-MAY-2009	F2	12-MAY-2018		Common Stock		23000.0				23000.0				D			
0001209191-08-053945	1105791	Common Stock (right to buy)		7.69				24-MAY-2001	F2	24-MAY-2010		Common Stock		22500.0				22500.0				D			
0001209191-08-053945	1105792	Common Stock (right to buy)		10.88				26-JAN-2002	F2	26-JAN-2011		Common Stock		20000.0				20000.0				D			
0001209191-08-053945	1105793	Common Stock (right to buy)		7.06				28-FEB-2002	F2	28-FEB-2011		Common Stock		20000.0				20000.0				D			
0001209191-08-053945	1105794	Common Stock (right to buy)		6.65				03-JAN-2003	F2	03-JAN-2012		Common Stock		20000.0				20000.0				D			
0001209191-08-053945	1105795	Common Stock (right to buy)		3.66				24-MAR-2004	F2	24-MAR-2013		Common Stock		20000.0				20000.0				D			
0001209191-08-053945	1105796	Common Stock (right to buy)		5.55				11-OCT-2005	F2	11-OCT-2014		Common Stock		11000.0				11000.0				D			
0001209191-08-053945	1105797	Common Stock (right to buy)		6.03				27-SEP-2006	F2	27-SEP-2015		Common Stock		10000.0				10000.0				D			
0001209191-08-053945	1105798	Common Stock (right to buy)		6.01				27-SEP-2007	F2	27-SEP-2016		Common Stock		15000.0				15000.0				D			
0001005477-08-005941	1158038	Option (Right to Buy)		2.42	F16			16-JAN-2009	F6	15-JAN-2018		Common Stock		25000.0	F15			25000.0	F17			D			
0001005477-08-005941	1158029	Option (Right to Buy)		7.0	F16			29-OCT-2005	F6	28-OCT-2014		Common Stock		27174.0	F15			27174.0	F17			D		By spouse	
0001005477-08-005941	1158028	Option (Right to Buy)		9.86	F16			05-MAY-2007	F6	04-MAY-2016		Common Stock		10000.0	F15			10000.0	F17			D		By Cambridge Holdings Ltd	F3
0001005477-08-005941	1158030	Option (Right to Buy)		7.0	F16			02-MAR-2005	F6	01-MAR-2015		Common Stock		10870.0	F15			10870.0	F17			D		By spouse	
0001005477-08-005941	1158031	Warrant (Right to Buy)		18.0	F16			25-AUG-2005		18-JUL-2010		Common Stock		500.0	F15, F7			1000.0				D		By spouse	
0001005477-08-005941	1158032	Warrant (Right to Buy)		18.0	F16			25-AUG-2005		18-JUL-2010		Common Stock		2500.0	F15			5000.0	F1			I			
0001005477-08-005941	1158033	Warrant (Right to Buy)		9.5	F16			01-APR-2007		01-OCT-2010		Common Stock		6000.0	F15			12000.0				D			
0001005477-08-005941	1158037	Series B Convertible Preferred Stock		0.0	F10			17-SEP-2008	F10		F9	Common Stock		5250.0	F15			1050.0	F1, F8			I			
0001005477-08-005941	1158036	Warrant (Right to Buy)		9.5	F16			01-APR-2007		01-OCT-2010		Common Stock		7000.0	F15			14000.0	F1			I			
0001005477-08-005941	1158035	Warrant (Right to Buy)		18.0	F16			01-APR-2007		18-JUL-2010		Common Stock		3500.0	F15			7000.0	F1			I			
0001005477-08-005941	1158034	Series B Convertible Preferred Stock		0.0	F10			17-SEP-2008	F10		F9	Common Stock		15000.0	F15			3000.0				D			
0001005477-08-005940	1262851	Option (Right to Buy)		2.42	F8			16-JAN-2009	F3	15-JAN-2018		Common Stock		100000.0	F7			100000.0	F9			D			
0001005477-08-005940	1262850	Option (Right to Buy)		36.8	F8			19-SEP-2003	F4	18-SEP-2008		Common Stock		2881.0	F7			2881.0	F9			D			
0001005477-08-005940	1262849	Option (Right to Buy)		7.0	F8			25-MAR-2005	F4	24-FEB-2015		Common Stock		2718.0	F7			2718.0	F9			D			
0001005477-08-005940	1262848	Option (Right to Buy)		7.0	F8			29-OCT-2005	F3	28-OCT-2014		Common Stock		40761.0	F7			40761.0	F9			D			
0001005477-08-005940	1262847	Option (Right to Buy)		9.86	F8			05-MAY-2007	F3	04-MAY-2016		Common Stock		3750.0	F7			3750.0	F9			D			
0000919574-08-005556	1135685	Equity Swap			F5				F5		F5	Common Stock		53333.0				1.0	F5			D	F3, F1, F6, F2, F4		
0000919574-08-005556	1135684	Equity Swap			F5				F5		F5	Common Stock		47068.0				1.0	F5			D	F3, F1, F6, F2, F4		
0000919574-08-005556	1135683	Equity Swap			F5				F5		F5	Common Stock		57165.0				1.0	F5			D	F3, F1, F6, F2, F4		
0000919574-08-005556	1135682	Equity Swap			F5				F5		F5	Common Stock		25000.0				1.0	F5			D	F3, F1, F6, F2, F4		
0000919574-08-005556	1135680	Equity Swap			F5				F5		F5	Common Stock		72806.0				1.0	F5			D	F3, F1, F6, F2, F4		
0000919574-08-005556	1135676	Equity Swap			F5				F5		F5	Common Stock		5365.0				1.0	F5			D	F3, F1, F6, F2, F4		
0000919574-08-005556	1135677	Equity Swap			F5				F5		F5	Common Stock		33333.0				1.0	F5			D	F3, F1, F6, F2, F4		
0000919574-08-005556	1135678	Equity Swap			F5				F5		F5	Common Stock		50551.0				1.0	F5			D	F3, F1, F6, F2, F4		
0000919574-08-005556	1135679	Equity Swap			F5				F5		F5	Common Stock		50065.0				1.0	F5			D	F3, F1, F6, F2, F4		
0000919574-08-005556	1135681	Equity Swap			F5				F5		F5	Common Stock		63500.0				1.0	F5			D	F3, F1, F6, F2, F4		
0000919574-08-005554	1457825	Equity Swap			F8				F8		F8	Common Stock		4133.0				1.0	F8			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457843	Equity Swap			F11				F11		F11	Common Stock		17500.0				1.0	F11			D	F12, F1, F5, F6, F7		
0000919574-08-005554	1457842	Equity Swap			F11				F11		F11	Common Stock		2067.0				1.0	F11			D	F12, F1, F5, F6, F7		
0000919574-08-005554	1457841	Equity Swap			F11				F11		F11	Common Stock		31226.0				1.0	F11			D	F12, F1, F5, F6, F7		
0000919574-08-005554	1457840	Equity Swap			F11				F11		F11	Common Stock		10000.0				1.0	F11			D	F12, F1, F5, F6, F7		
0000919574-08-005554	1457821	Equity Swap			F8				F8		F8	Common Stock		116667.0				1.0	F8			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457822	Equity Swap			F8				F8		F8	Common Stock		76666.0				1.0	F8			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457823	Equity Swap			F8				F8		F8	Common Stock		20000.0				1.0	F8			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457824	Equity Swap			F8				F8		F8	Common Stock		62534.0				1.0	F8			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457844	Equity Swap			F11				F11		F11	Common Stock		8333.0				1.0	F11			D	F12, F1, F5, F6, F7		
0000919574-08-005554	1457826	Equity Swap			F8				F8		F8	Common Stock		35000.0				1.0	F8			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457827	Equity Swap			F8				F8		F8	Common Stock		16667.0				1.0	F8			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457828	Equity Swap			F9				F9		F9	Common Stock		10735.0				1.0	F9			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457829	Equity Swap			F9				F9		F9	Common Stock		66667.0				1.0	F9			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457830	Equity Swap			F9				F9		F9	Common Stock		101110.0				1.0	F9			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457831	Equity Swap			F9				F9		F9	Common Stock		100135.0				1.0	F9			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457832	Equity Swap			F9				F9		F9	Common Stock		145594.0				1.0	F9			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457833	Equity Swap			F9				F9		F9	Common Stock		127000.0				1.0	F9			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457834	Equity Swap			F9				F9		F9	Common Stock		50000.0				1.0	F9			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457835	Equity Swap			F9				F9		F9	Common Stock		114335.0				1.0	F9			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457836	Equity Swap			F9				F9		F9	Common Stock		94132.0				1.0	F9			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457837	Equity Swap			F9				F9		F9	Common Stock		106667.0				1.0	F9			D	F3, F1, F10, F2, F4		
0000919574-08-005554	1457838	Equity Swap			F11				F11		F11	Common Stock		58333.0				1.0	F11			D	F12, F1, F5, F6, F7		
0000919574-08-005554	1457839	Equity Swap			F11				F11		F11	Common Stock		38334.0				1.0	F11			D	F12, F1, F5, F6, F7		
0001179110-08-017470	1206024	Employee Stock Ownership (Right to Buy)		7.75				30-JUN-2001	F2	13-SEP-2010		Common Stock		21191.0				21191.0				D			
0001179110-08-017470	1206025	Employee Stock Ownership (Right to Buy)		10.33				30-JUN-2002	F3	11-SEP-2011		Common Stock		12355.0				12355.0				D			
0001179110-08-017470	1206026	Employee Stock Ownership (Right to Buy)		9.92				30-JUN-2003	F4	11-SEP-2012		Common Stock		13667.0				13667.0				D			
0001179110-08-017470	1206027	Employee Stock Ownership (Right to Buy)		14.75				30-JUN-2004	F5	10-SEP-2013		Common Stock		6354.0				6354.0				D			
0001179110-08-017470	1206028	Employee Stock Ownership (Right to Buy)		14.88				30-JUN-2005	F6	08-SEP-2014		Common Stock		16665.0				16665.0				D			
0001446628-08-000002	1452388	Stock Option		15.13				20-JAN-2004		20-JAN-2013		Common Stock		5000.0								D			
0001446628-08-000002	1452389	Stock Option		20.06				03-JUN-2005		03-JUN-2014		Common Stock		5500.0								D			
0001446628-08-000002	1452390	Stock Option		24.25				19-JAN-2006		19-JAN-2015		Common Stock		5500.0								D			
0001446628-08-000002	1452391	Stock Option		27.01				18-JAN-2007		18-JAN-2016		Common Stock		6000.0								D			
0001446628-08-000002	1452392	Stock Option		30.45				17-JAN-2008		17-JAN-2017		Common Stock		6400.0								D			
0001446628-08-000002	1452393	Stock Option		37.52				16-JAN-2009		16-JAN-2018		Common Stock		13000.0								D			
0001446628-08-000002	1452386	Stock Option		14.03				22-JAN-2002		22-JAN-2011		Common Stock		2500.0								D			
0001446628-08-000002	1452387	Stock Option		14.96				21-JAN-2003		21-JAN-2012		Common Stock		5000.0								D			
0000849213-08-000150	1434285	Stock Option (2008 SIP)		42.98					F3	04-FEB-2018		Common Stock		50000.0				50000.0				D			
0000849213-08-000150	1434284	Stock Option (2007 SIP)		40.42					F3	05-FEB-2017		Common Stock		40000.0				40000.0				D			
0000849213-08-000150	1434283	Stock Option (2006 SIP)		35.74					F3	03-FEB-2016		Common Stock		35000.0				35000.0				D			
0000849213-08-000150	1434282	Stock Option (2005 SiP)		37.49					F3	09-FEB-2015		Common Stock		35000.0				35000.0				D			
0001179110-08-017455	1419860	Employee Stock Ownership (Right to Buy)		10.33				30-JUN-2002	F3	11-SEP-2011		Common Stock		1536.0				1536.0				D			
0001179110-08-017455	1419861	Employee Stock Ownership (Right to Buy)		9.92				30-JUN-2003	F4	11-SEP-2012		Common Stock		2126.0				2126.0				D			
0001179110-08-017455	1419859	Employee Stock Ownership (Right to Buy)		7.75				30-JUN-2001	F2	13-SEP-2010		Common Stock		925.0				914.0				D			
0001179110-08-017455	1419866	Stock Appreciation Rights		14.71				10-SEP-2009	F9	10-SEP-2019		Common Stock		2679.0				2679.0				D			
0001179110-08-017455	1419865	Stock Appreciation Rights		16.1				12-SEP-2008	F8	12-SEP-2017		Common Stock		1782.0				1782.0				D			
0001179110-08-017455	1419864	Stock Appreciation Rights		16.0				13-SEP-2007	F7	13-SEP-2016		Common Stock		1325.0				1325.0				D			
0001179110-08-017455	1419863	Employee Stock Ownership (Right to Buy)		14.88				30-JUN-2005	F6	08-SEP-2014		Common Stock		3973.0				3973.0				D			
0001179110-08-017455	1419862	Employee Stock Ownership (Right to Buy)		14.75				30-JUN-2004	F5	10-SEP-2013		Common Stock		1525.0				1525.0				D			
0001179110-08-017454	1518753	Stock Appreciation Right		16.0				13-SEP-2007	F3	13-SEP-2016		Common Stock		3410.0				3410.0				D			
0001179110-08-017454	1518754	Stock Appreciation Right		16.1				12-SEP-2008	F4	12-SEP-2017		Common Stock		5715.0				5715.0				D			
0001179110-08-017454	1518755	Stock Appreciation Rights		14.71				10-SEP-2009	F5	10-SEP-2019		Common Stock		9139.0				9139.0				D			
0001179110-08-017454	1518752	Employee Stock Ownership (Right to Buy)		14.88				30-JUN-2005	F2	08-SEP-2014		Common Stock		2777.0				2777.0				D			
0001179110-08-017453	1125847	Employee Stock Ownership (Right to Buy)		14.75				30-JUN-2004	F5	10-SEP-2013		Common Stock		1849.0				1849.0				D			
0001179110-08-017453	1125846	Employee Stock Option (Right to Buy)		9.92				30-JUN-2003	F4	11-SEP-2012		Common Stock		3934.0				3934.0				D			
0001179110-08-017453	1125845	Employee Stock Option (Right to Buy)		10.33				30-JUN-2002	F3	11-SEP-2011		Common Stock		3539.0				3539.0				D			
0001179110-08-017453	1125848	Employee Stock Ownership (Right to Buy)		14.88				30-JUN-2005	F6	08-SEP-2014		Common Stock		4514.0				4514.0				D			
0001179110-08-017453	1125849	Stock Appreciation Rights		16.0				13-SEP-2007	F7	13-SEP-2016		Common Stock		1686.0				1686.0				D			
0001179110-08-017453	1125844	Employee Stock Option (Right to Buy)		7.75				30-JUN-2001	F2	13-SEP-2010		Common Stock		3972.0				3972.0				D			
0001179110-08-017453	1125851	Stock Appreciation Rights		14.71				10-SEP-2009	F9	10-SEP-2019		Common Stock		3409.0				3409.0				D			
0001179110-08-017453	1125850	Stock Appreciation Rights		16.1				12-SEP-2008	F8	12-SEP-2017		Common Stock		2268.0				2268.0				D			
