ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001140361-11-034880	937893	Employee Stock Options (Right to Buy)		10.5	F4			16-MAR-2011	F3	16-MAR-2016		Common Stock		50000.0								D			
0001140361-11-034880	937892	Employee Stock Options (Right to Buy)		2.71	F4			28-MAY-2010	F2	28-MAY-2015		Common Stock		50000.0								D			
0001140361-11-034880	937891	Employee Stock Options (Right to Buy)		0.58	F4			27-JAN-2009	F1	27-JAN-2014		Common Stock		150000.0								D			
0001140361-11-034878	943876	Employee Stock Options (Right to Buy)		2.71	F5			28-MAY-2010	F2	28-MAY-2015		Common Stock		100000.0								D			
0001140361-11-034878	943878	Employee Stock Options (Right to Buy)		10.5	F5			16-MAR-2011	F4	16-MAR-2016		Common Stock		100000.0								D			
0001140361-11-034878	943877	Employee Stock Options (Right to Buy)		15.16	F5			11-JAN-2011	F3	11-JAN-2016		Common Stock		100000.0								D			
0001140361-11-034878	943875	Employee Stock Options (Right to Buy)		1.0	F5			01-OCT-2007	F1	01-OCT-2012		Common Stock		250000.0								D			
0001140361-11-034874	1000352	Employee Stock Options (Right to Buy)		0.58	F5			13-APR-2009	F2	13-APR-2014		Common Stock		150000.0								D			
0001140361-11-034874	1000353	Employee Stock Options (Right to Buy)		2.71	F5			28-MAY-2010	F3	28-MAY-2015		Common Stock		50000.0								D			
0001140361-11-034874	1000354	Employee Stock Options (Right to Buy)		10.5	F5			16-MAR-2011	F4	16-MAR-2016		Common Stock		50000.0								D			
0001140361-11-034874	1000351	Employee Stock Options (Right to Buy)		0.55	F5			10-JAN-2007	F1	10-JAN-2012		Common Stock		50000.0								D			
0001140361-11-034871	1042265	Employee Stock Options (Right to Buy)		2.71	F3			28-MAY-2010	F1	28-MAY-2015		Common Stock		40000.0								D			
0001140361-11-034871	1042266	Employee Stock Options (Right to Buy)		10.5	F3			16-MAR-2011	F2	16-MAR-2016		Common Stock		50000.0								D			
0001246360-11-002941	892280	Perf Based RSU 3-2-2011		0.0				31-DEC-2013		02-MAR-2021		Class A Common Stock		25257.0				25257.0				D			
0001246360-11-002941	892279	Non-Statutory Stock Option 3-3-2011 - $48.50		48.5				02-MAR-2012		02-MAR-2021		Class A Common Stock		33129.0				33129.0				D			
0001246360-11-002941	892278	March 2011 Employee RSU Grant		0.0				02-MAR-2012		02-MAR-2021		Class A Common Stock		28886.0				28886.0				D			
0001246360-11-002941	892277	Perf Based RSUs 3-16-10	F1	0.0	F5			31-DEC-2012	F5	31-DEC-2012		Class A Common Stock		42060.0				42060.0	F6			D			
0001246360-11-002941	892276	2009 Restricted Stock Units		0.0				11-DEC-2010		11-DEC-2019		Class A Common Stock		97034.0				97034.0				D			
0001246360-11-002941	892275	2008 Restricted Stock Units	F1	0.0	F2			12-DEC-2009	F3	11-DEC-2018	F4	Class A Common Stock		173333.0				173333.0				D			
0001246360-11-002941	892274	NSO 2007		43.61				14-DEC-2008		13-DEC-2017		Class A Common Stock		89470.0				89470.0				D			
0001246360-11-002941	892273	2007 Restricted Stock Unit	F1	0.0	F2			14-DEC-2008	F3	13-DEC-2017	F4	Class A Common Stock		29810.0				29810.0				D			
0001246360-11-002941	892272	Nonstatutory Stock Option 12-15-06		32.57				15-DEC-2007		14-DEC-2016		Class A Common Stock		175000.0				175000.0				D			
0001246360-11-002941	892271	Nonstatutory Stock Option 12-15-05		30.65				15-DEC-2006		15-DEC-2015		Class A Common Stock		150000.0				150000.0				D			
0001246360-11-002941	892270	Nonstatutory Stock Option 11-23-04		21.58				23-NOV-2005		23-NOV-2014		Class A Common Stock		130000.0				130000.0				D			
0001246360-11-002941	892269	Nonstatutory Stock Option 6-16-04		14.38				16-JUN-2005		16-JUN-2014		Class A Common Stock		200000.0				200000.0				D			
0001246360-11-002941	892267	Nonstatutory Stock Options 12-2-02		8.07				02-DEC-2002		02-DEC-2012		Class A Common Stock		10000.0				10000.0				D			
0001246360-11-002941	892268	Nonstatutory Stock Options 12-2-03		9.61				02-DEC-2003		02-DEC-2013		Class A Common Stock		10000.0				10000.0				D			
0001246360-11-002938	957835	March 2011 Director RSU		0.0				02-MAR-2012		02-MAR-2021		Class A Common Stock		2499.0				2499.0				D			
0001246360-11-002937	1036947	NSO 2007		43.61				14-DEC-2007		13-DEC-2017		Class A Common Stock		3956.0				3956.0				D			
0001246360-11-002937	1036948	March 2011 Director RSU		0.0				02-MAR-2011		02-MAR-2021		Class A Common Stock		2499.0				2499.0				D			
0001246360-11-002937	1036945	Nonstatutory Stock Option 12-15-06		32.57				15-DEC-2006		14-DEC-2016		Class A Common Stock		10000.0				10000.0				D			
0001246360-11-002937	1036946	2007 Restricted Stock Unit	F1	0.0				01-JAN-2008	F2	13-DEC-2017	F3	Class A Common Stock		1319.0				1319.0				D			
0001246360-11-002936	1023896	NSO 2007		43.61				14-DEC-2007		13-DEC-2017		Class A Common Stock		3956.0				3956.0				D			
0001246360-11-002936	1023897	2007 Restricted Stock Unit	F1	0.0				01-JAN-2008	F2	13-DEC-2017	F3	Class A Common Stock		1319.0				1319.0				D			
0001246360-11-002936	1023894	Nonstatutory Stock Option 12-15-05		30.65				15-DEC-2005		14-DEC-2015		Class A Common Stock		10000.0				10000.0				D			
0001246360-11-002936	1023895	Nonstatutory Stock Option 12-15-06		32.57				15-DEC-2006		14-DEC-2016		Class A Common Stock		10000.0				10000.0				D			
0001246360-11-002935	863415	Nonstatutory Stock Option 38.0025		38.0				02-FEB-2006		01-FEB-2016		Class A Common Stock		10000.0				10000.0				D			
0001246360-11-002935	863419	March 2011 Director RSU		0.0				02-MAR-2011		02-MAR-2021		Class A Common Stock		2499.0				2499.0				D			
0001246360-11-002935	863418	NSO 2007		43.61				14-DEC-2007		13-DEC-2017		Class A Common Stock		3956.0				3956.0				D			
