ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001567619-22-016748	2312603	Stock Options		0.09		26-AUG-2022				4	A	0				2200000.0				1.16		A		26-AUG-2022	F4	26-AUG-2032		Common Stock		2200000.0				2600000.0				D			
0001567619-22-016748	2312604	Warrants		0.1	F2	12-JUN-2022				4	E	0				1000000.0				0.1	F2	D		12-JUN-2020		12-JUN-2022		Common Stock		1000000.0				0.0				D			
0001567619-22-016748	2312601	Stock Options		1.17		22-JUL-2022				4	J	0	F5			400000.0				1.17		D		10-FEB-2021	F1	10-FEB-2031		Common Stock		400000.0				400000.0				D			
0000939057-22-000267	2312534	Stock Options (Right to Buy)		8.14		25-AUG-2022				4	M	0				18844.0				0.0		D			F2	17-OCT-2022		Common Stock		18844.0				30749.0				D			
0001137623-22-000002	2312599	Director Stock Option		1.38		25-AUG-2022				4	M	0				10000.0				0.0		D		09-SEP-2019		09-SEP-2029		Common Stock		10000.0	F5			0.0				D			
0001137623-22-000002	2312598	Director Stock Option		1.21		25-AUG-2022				4	M	0				12000.0				0.0		D		12-SEP-2016		12-SEP-2026		Common Stock		12000.0	F4			0.0				D			
0001137623-22-000002	2312596	Director Stock Option		1.22		25-AUG-2022				4	M	0				20000.0				0.0		D		05-SEP-2012		05-SEP-2022		Common Stock		20000.0	F2			0.0				D			
0001137623-22-000002	2312597	Director Stock Option		0.71		25-AUG-2022				4	M	0				3000.0				0.0		D		16-SEP-2013		16-SEP-2023		Common Stock		3000.0	F3			0.0				D			
0001209191-22-047809	2312677	Employee Stock Option (right to buy)		61.05		25-AUG-2022				4	M	0				6999.0				0.0		D		01-APR-2020	F4	01-APR-2029		Common Stock		6999.0				0.0				D			
0001209191-22-047809	2312676	Employee Stock Option (right to buy)		71.8		25-AUG-2022				4	M	0				2659.0				0.0		D		01-APR-2019	F3	01-APR-2028		Common Stock		2659.0				0.0				D			
