ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000907242-15-000002	442040	Option/right to buy		17.79				12-JUL-2016		12-JUL-2023		Common Stock		6666.0				125000.0				D			
0000907242-15-000002	442041	Option/right to buy		20.0				13-AUG-2016		13-AUG-2023		Common Stock		1667.0				125000.0				D			
0000907242-15-000002	442042	Option/right to buy		19.0					F5	17-JAN-2024		Common Stock		40000.0				125000.0				D			
0000907242-15-000002	442043	Option/right to buy		18.41				10-FEB-2017		10-FEB-2024		Common Stock		1666.0				125000.0				D			
0000907242-15-000002	442044	Option/right to buy		14.95				12-JUL-2017		12-JUL-2024		Common Stock		6667.0				125000.0				D			
0000907242-15-000002	442045	Option/right to buy		12.4				13-AUG-2017		13-AUG-2024		Common Stock		1667.0				125000.0				D			
0000907242-15-000002	442039	Option/right to buy		10.33				10-FEB-2016		10-FEB-2023		Common Stock		1666.0				125000.0				D			
0000907242-15-000002	442033	Option/right to buy		6.72					F1	10-FEB-2020		Common Stock		5000.0				125000.0				D			
0000907242-15-000002	442034	Option/right to buy		11.15					F2	21-JUN-2020		Common Stock		5000.0				125000.0				D			
0000907242-15-000002	442035	Option/right to buy		10.2					F3	12-JUL-2020		Common Stock		20000.0				125000.0				D			
