ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001443873-17-000011	483955	Employee Stock Option (Right-to-buy)		87.24		28-SEP-2017				4	M	0				100000.0	F1			0.0		D			F3	22-MAY-2019		Common Stock		100000.0				99000.0				D			
0001443873-17-000011	483956	Employee Stock Option (Right-to-buy)		87.24		29-SEP-2017				4	M	0				99000.0	F1			0.0		D			F3	22-MAY-2019		Common Stock		99000.0				0.0				D			
0001209191-17-054460	497323	Employee Stock Options (right to buy)		4.65		22-SEP-2017				4	A	0	F1			65000.0				0.0		A		22-SEP-2018	F2	21-SEP-2027		Common Stock		65000.0				65000.0				D			
0001140361-17-037024	456440	Director Stock Option (Right to Buy)		6.71		27-SEP-2017				4	A	0				6000.0				0.0		A			F1	26-SEP-2027		Common Stock		6000.0				6000.0				D	F2		
0001209191-17-054457	511524	Non-Qualified Stock Option		12.36		28-SEP-2017				4	M	0				12000.0				0.0		D		02-FEB-2013		02-FEB-2019		Common Stock		12000.0				413212.0				D			
0001209191-17-054457	511525	Non-Qualified Stock Option		12.36		29-SEP-2017				4	M	0				12000.0				0.0		D		02-FEB-2013		02-FEB-2019		Common Stock		12000.0				401212.0				D			
0001209191-17-054457	511523	Non-Qualified Stock Option		12.36		27-SEP-2017				4	M	0				12000.0				0.0		D		02-FEB-2013		02-FEB-2019		Common Stock		12000.0				425212.0				D			
0000946724-17-000016	496146	Non-Qualified Stock Option (right to buy)		23.1		27-SEP-2017				4	M	0				46000.0				54.95		D			F2	02-MAY-2018		Common Stock		46000.0				46000.0				D			
0000946724-17-000016	496147	Non-Qualified Stock Option (right to buy)		23.1		29-SEP-2017				4	M	0				46000.0				54.4		D			F2	02-MAY-2018		Common Stock		46000.0				0.0				D			
0001104659-17-060014	488875	Stock Option			F2	27-SEP-2017				4	M	0				1350.0				0.0		D			F3	27-SEP-2017		Ordinary Shares		1350.0				0.0				D			
0001209191-17-054454	544365	Common Stock Option		31.12		29-SEP-2017				4	M	0				8550.0				0.0		D			F2	08-FEB-2020	F2	Common Stock		0.0				0.0				D			
0001209191-17-054454	544364	Common Stock Option		30.15		29-SEP-2017				4	M	0				5700.0				0.0		D			F1	10-FEB-2019	F1	Common Stock		0.0				0.0				D			
