ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001127602-10-024135	740907	Employee Stock Option		18.72				18-JAN-2002	F2	18-JAN-2011		Common Stock		15000.0								D			
0001127602-10-024135	740908	Employee Stock Option		22.26				17-JAN-2003	F3	17-JAN-2012		Common Stock		12000.0								D			
0001127602-10-024135	740909	Employee Stock Option		16.72				14-FEB-2004	F4	14-FEB-2013		Common Stock		11000.0								D			
0001127602-10-024135	740910	Employee Stock Option		18.79				30-APR-2004	F5	30-APR-2013		Common Stock		15000.0								D			
0001127602-10-024135	740916	Employee Stock Option		29.84				15-FEB-2010	F11	15-FEB-2017		Common Stock		20000.0								D			
0001127602-10-024135	740912	Employee Stock Option		27.06				11-FEB-2006	F7	11-FEB-2015		Common Stock		15000.0								D			
0001127602-10-024135	740913	Employee Stock Option		29.74				17-FEB-2007	F8	17-FEB-2016		Common Stock		15000.0								D			
0001127602-10-024135	740914	Employee Stock Option		20.37				15-FEB-2009	F9	15-FEB-2018		Common Stock		24290.0								D			
0001127602-10-024135	740915	Employee Stock Option		9.03				15-AUG-2009	F10	15-AUG-2018		Common Stock		7500.0								D			
0001127602-10-024135	740911	Employee Stock Option		27.16				27-FEB-2005	F6	27-FEB-2014		Common Stock		15000.0								D			
0001209191-10-048107	829575	Stock Option		4.37				11-AUG-2003		11-FEB-2013		Common Stock		14000.0				14000.0				D			
0001209191-10-048107	829572	Phantom Stock Units		0.0					F2		F2	Phantom Stock Units		0.0				13505.87	F4			D			
0001209191-10-048107	829573	Stock Option		4.52				13-AUG-2001		13-FEB-2011		Common Stock		12800.0				12800.0				D			
0001209191-10-048107	829574	Stock Option		3.7				11-AUG-2002		11-FEB-2012		Common Stock		12800.0				12800.0				D			
0001209191-10-048105	813331	Stock Option		4.52				13-AUG-2001		13-FEB-2011		Common Stock		16000.0				16000.0				D			
0001209191-10-048105	813332	Stock Option		3.7				11-AUG-2002		11-FEB-2012		Common Stock		12800.0				12800.0				D			
